,householdsize,PctUnemployed,medIncome,PolicReqPerOffic,TotalPctDiv,PctNotHSGrad,violent_crime_occurence
47,3.59,12.26,16180,0.0,10.59,61.8,0
48,2.64,5.13,31103,0.0,11.33,21.43,0
49,2.86,5.18,36091,0.0,9.66,18.63,0
50,2.49,7.01,19985,0.0,12.75,39.87,0
51,2.2,3.8,54348,592.2,12.23,10.57,1
52,2.87,4.65,43376,0.0,6.2,9.16,0
53,2.59,10.98,22439,0.0,14.6,30.32,0
54,2.54,9.92,24819,514.2,13.62,26.84,1
55,2.63,9.62,24603,840.2,12.53,35.69,1
56,2.8,3.94,59719,0.0,6.41,8.34,0
57,2.34,4.21,32704,0.0,10.31,15.77,0
58,2.63,5.97,23726,443.2,11.25,30.52,1
59,2.92,3.37,36770,0.0,9.11,13.22,0
60,2.49,7.46,19433,0.0,12.75,37.36,1
61,2.83,4.74,35934,459.1,13.21,18.76,1
62,2.7,4.94,36995,0.0,12.71,13.06,0
63,2.49,6.85,23056,0.0,10.14,25.73,0
64,2.88,3.13,49143,0.0,5.81,11.01,0
65,2.67,6.42,31235,0.0,10.46,16.34,0
66,2.82,5.41,32713,0.0,8.48,25.83,0
67,2.16,6.62,23773,0.0,11.16,21.74,0
68,2.36,7.11,19923,840.3,14.23,29.21,1
69,2.28,5.99,25649,0.0,15.37,25.51,0
70,2.5,3.28,41736,0.0,9.4,8.76,0
71,2.79,3.75,58194,0.0,6.47,12.02,0
72,2.6,3.44,45481,0.0,8.57,20.02,0
73,2.46,8.52,20569,0.0,11.36,31.36,1
74,3.86,3.56,43971,0.0,6.38,6.93,0
75,2.9,2.42,52208,0.0,7.31,7.8,0
76,2.91,6.2,42549,0.0,10.75,16.57,0
77,2.49,9.5,18357,0.0,13.15,33.47,1
78,2.49,8.12,21748,693.2,14.15,21.39,1
79,2.94,4.1,41944,0.0,9.3,18.12,0
80,2.62,8.51,19157,0.0,10.51,41.2,1
81,2.51,5.12,30591,0.0,12.53,11.2,0
82,2.76,7.31,37683,0.0,12.32,14.63,1
83,2.29,3.05,34644,0.0,7.8,16.84,0
84,2.52,3.78,34639,0.0,11.31,12.12,0
85,2.86,4.57,41028,0.0,11.2,12.99,0
86,2.46,4.48,23744,0.0,10.57,30.01,0
87,2.7,2.71,62420,0.0,5.8,9.49,0
88,2.47,7.22,33411,0.0,10.93,11.27,1
89,2.66,4.17,46499,0.0,7.38,16.92,0
90,2.34,6.16,25592,422.6,16.07,17.1,1
91,2.95,3.3,46674,0.0,11.0,15.79,0
92,2.53,3.95,47204,334.0,11.64,12.38,1
93,4.32,3.21,43804,0.0,4.1,9.1,0
94,2.59,3.82,42962,0.0,13.43,18.45,1
95,2.47,3.31,35855,0.0,9.55,21.66,0
96,3.01,2.29,53665,0.0,6.16,9.45,0
97,2.46,5.66,26654,0.0,9.08,26.53,0
98,2.67,5.08,25456,0.0,8.28,14.24,0
99,2.66,9.25,25811,371.8,12.44,28.97,1
100,2.66,8.37,18095,0.0,14.97,49.27,1
101,2.87,6.76,36724,0.0,11.36,21.38,0
102,2.76,2.81,48483,0.0,5.14,12.33,0
103,2.67,9.13,19063,0.0,10.44,39.06,1
104,2.57,5.64,29576,0.0,8.45,20.21,0
105,2.75,4.78,37073,0.0,12.03,15.38,1
106,3.29,11.09,24292,0.0,12.74,42.85,1
107,2.7,3.93,34182,0.0,14.83,14.97,0
108,2.62,4.82,25168,0.0,9.2,21.39,0
109,2.11,4.77,30141,0.0,19.11,15.18,1
110,3.42,3.52,53710,0.0,13.69,14.13,0
111,2.69,3.31,51253,0.0,10.85,12.59,0
112,2.45,3.62,32877,0.0,12.39,18.08,1
113,2.47,5.56,23453,974.6,11.51,14.48,1
114,3.68,3.21,43092,0.0,5.92,11.6,0
115,3.13,7.56,21392,0.0,5.29,19.79,0
116,2.56,5.25,23642,0.0,13.78,25.24,0
117,2.47,2.63,44335,0.0,12.84,7.51,0
118,2.82,2.94,48889,0.0,8.64,12.9,0
119,2.79,5.96,22194,0.0,6.76,20.01,0
120,2.8,7.85,31671,0.0,13.1,23.84,1
121,2.71,3.08,49900,0.0,8.91,16.13,0
122,2.59,8.74,21407,1077.1,14.39,31.67,1
123,2.3,3.61,32405,0.0,10.51,11.92,0
124,2.67,8.15,21238,0.0,12.16,35.92,1
125,2.58,6.72,25141,0.0,12.13,31.91,0
126,2.58,5.93,27148,0.0,11.46,20.68,0
127,2.86,8.34,30925,660.7,12.26,33.0,1
128,2.76,7.53,33969,0.0,8.63,42.64,1
129,2.93,4.6,40117,0.0,6.44,26.72,0
130,2.47,9.73,20905,0.0,12.05,22.68,0
131,2.72,7.38,29088,0.0,11.28,30.11,0
132,2.9,4.98,35575,0.0,10.18,22.08,0
133,3.66,4.37,28655,0.0,10.62,22.08,1
134,2.66,3.09,48901,0.0,12.29,10.57,0
135,2.67,4.91,22059,0.0,8.97,12.8,1
136,2.53,10.38,20711,0.0,13.43,27.85,1
137,2.95,5.7,31262,0.0,9.33,19.48,0
138,2.54,4.16,36864,0.0,10.45,14.77,0
139,2.34,8.01,20461,0.0,13.17,30.81,0
140,2.36,8.12,22192,570.8,15.82,16.79,1
141,2.7,6.45,22996,0.0,10.88,15.88,0
142,2.38,10.96,21762,0.0,15.23,26.57,0
143,3.29,5.4,21221,0.0,10.37,22.13,1
144,3.05,6.21,37156,0.0,7.39,29.43,0
145,2.63,3.81,33344,343.8,8.09,6.08,0
146,2.75,5.47,43419,0.0,10.46,13.71,0
147,2.25,8.89,23269,0.0,16.77,39.4,1
148,2.44,5.19,23684,0.0,11.74,26.28,0
149,2.71,2.38,44735,0.0,6.88,10.83,0
150,2.81,10.87,25655,387.4,14.53,49.46,1
151,2.51,3.4,60462,0.0,11.7,4.96,0
152,2.61,18.29,20176,429.3,17.92,30.71,0
153,3.28,8.85,28289,403.2,8.74,34.0,1
154,2.86,8.38,19397,0.0,11.92,37.41,1
155,3.37,10.6,29206,0.0,14.87,39.39,1
156,3.11,3.1,70287,0.0,4.82,4.95,0
157,2.85,3.09,45043,0.0,10.54,10.8,0
158,2.86,13.03,18506,0.0,12.05,42.88,0
159,2.93,3.4,44083,0.0,7.02,19.5,0
160,2.75,5.92,28998,0.0,12.07,36.6,0
161,2.63,3.8,36972,0.0,5.69,17.7,0
162,2.83,5.69,34179,0.0,11.17,28.19,0
163,2.99,5.71,31617,0.0,10.01,37.21,0
164,2.88,12.4,20864,0.0,14.44,37.84,1
165,2.44,7.56,20745,0.0,11.41,35.01,1
166,2.44,6.54,22772,766.1,16.66,29.37,1
167,2.5,7.43,27489,581.6,15.58,26.55,1
168,2.9,5.51,20859,0.0,8.35,28.18,0
169,2.46,4.73,24714,0.0,11.97,14.77,0
170,2.49,6.64,24814,0.0,15.61,27.56,1
171,2.4,4.13,42971,0.0,14.22,15.85,1
172,2.88,4.35,26974,0.0,11.49,20.89,0
173,2.5,8.63,22112,378.3,14.07,41.57,1
174,2.89,10.69,17826,0.0,7.37,21.53,1
175,2.67,9.43,32165,893.9,16.07,23.31,1
176,2.73,7.65,37701,0.0,7.94,26.02,0
177,2.67,3.5,36809,0.0,9.17,19.75,0
178,2.77,4.1,29661,0.0,9.98,14.45,0
179,3.2,19.22,14994,0.0,10.6,51.9,0
180,2.72,10.89,15917,0.0,13.35,39.46,1
181,2.8,5.33,34198,0.0,7.42,22.93,0
182,3.45,12.14,17489,0.0,7.43,47.39,0
183,2.76,7.94,30524,0.0,10.19,30.12,0
184,2.56,2.55,50843,0.0,9.21,10.1,0
185,2.67,5.67,23462,0.0,11.09,23.42,0
186,2.57,4.17,40313,456.7,15.0,16.52,0
187,2.84,4.24,45171,0.0,13.42,14.1,0
188,3.17,3.64,64338,0.0,6.55,9.98,1
189,2.57,9.88,19474,0.0,16.23,21.66,1
190,2.51,2.43,34466,0.0,10.8,15.5,0
191,2.55,3.32,26614,0.0,12.93,26.25,0
192,3.11,3.12,77530,0.0,5.15,6.98,0
193,3.04,7.0,38532,0.0,12.46,23.51,1
194,2.89,2.9,61058,0.0,8.93,6.33,0
195,2.7,6.54,31938,946.2,13.78,24.49,1
196,2.47,7.22,23370,363.4,10.8,18.58,0
197,2.41,8.57,19829,0.0,14.2,38.97,1
198,3.18,5.76,43555,0.0,9.9,23.88,0
199,2.58,5.42,39603,0.0,9.33,12.89,0
200,2.94,3.85,43428,477.1,9.68,10.81,0
201,2.9,2.81,50798,0.0,6.47,15.75,0
202,2.74,11.36,30160,0.0,12.9,27.6,0
203,2.66,4.12,42019,0.0,11.65,15.96,0
204,2.81,7.67,21864,0.0,12.97,30.5,1
205,2.49,7.06,25741,551.6,15.53,21.78,1
206,2.88,9.97,21946,0.0,11.21,35.51,1
207,3.11,9.97,18962,0.0,10.33,41.74,1
208,2.4,4.52,20189,0.0,11.07,22.38,0
209,3.62,1.71,47790,0.0,9.8,5.88,0
210,2.59,7.4,22610,0.0,14.75,17.96,1
211,2.58,5.21,25740,0.0,11.54,15.07,0
212,3.2,2.5,54364,0.0,8.12,11.15,0
213,2.78,2.42,59020,0.0,6.45,7.79,0
214,3.41,14.95,22032,0.0,8.21,50.72,1
215,2.57,2.92,37156,0.0,11.42,7.82,0
216,2.4,4.24,25787,0.0,15.17,14.69,0
217,2.71,2.86,70000,0.0,7.89,6.81,0
218,2.68,6.09,24955,0.0,11.55,16.93,0
219,2.28,12.8,16600,0.0,17.75,38.79,1
220,2.58,7.69,21174,0.0,16.27,25.24,0
221,2.65,10.08,25385,0.0,13.26,26.83,0
222,2.57,4.97,39087,0.0,8.53,11.52,0
223,2.59,9.03,16997,0.0,13.13,36.81,0
224,2.67,7.41,34850,0.0,11.96,29.22,1
225,2.41,3.91,32002,0.0,11.53,15.17,0
226,3.11,14.52,14509,0.0,11.04,32.7,1
227,2.62,1.93,27095,0.0,13.33,25.0,0
228,2.52,8.5,18743,0.0,13.34,34.74,1
229,2.5,3.95,43109,0.0,7.51,22.97,0
230,2.84,4.11,45550,0.0,10.56,12.0,0
231,2.74,2.75,35301,0.0,9.73,16.07,0
232,2.81,3.69,38068,0.0,10.34,16.66,0
233,2.28,5.26,28824,0.0,10.86,26.93,1
234,2.83,2.46,61524,0.0,7.12,10.04,0
235,2.45,4.19,27373,0.0,12.44,15.93,0
236,2.69,4.58,44130,0.0,9.47,13.65,0
237,2.54,9.45,18004,0.0,14.29,31.39,0
238,2.17,5.97,18514,0.0,13.98,32.74,0
239,2.6,2.17,37461,0.0,10.35,16.98,0
240,3.29,5.61,47121,0.0,9.98,15.27,0
241,2.51,4.59,42464,0.0,8.07,21.54,0
242,2.62,8.18,30200,0.0,13.0,24.27,0
243,2.87,5.9,60274,0.0,6.27,5.83,0
244,2.53,7.53,19205,0.0,12.73,32.44,0
245,2.54,4.97,29833,0.0,11.7,21.1,0
246,2.94,11.79,22224,0.0,13.73,42.12,1
247,2.58,5.17,31503,0.0,7.62,20.07,0
248,2.55,6.69,35911,241.9,9.33,31.78,1
249,2.73,9.17,23207,416.7,12.06,20.41,0
250,2.68,6.32,25982,0.0,15.97,35.51,1
251,2.8,2.5,61271,0.0,8.51,10.16,0
252,2.81,2.99,66760,0.0,5.66,8.81,0
253,2.84,4.24,45127,0.0,11.52,12.4,0
254,3.53,7.17,43882,0.0,10.68,28.65,1
255,2.12,7.32,23028,0.0,4.41,38.7,0
256,2.62,8.96,22271,0.0,11.37,31.67,0
257,2.81,4.05,36415,0.0,9.8,18.87,0
258,2.64,4.66,36843,0.0,13.64,19.32,1
259,2.43,5.91,26680,0.0,13.48,19.67,1
260,2.42,6.7,28261,0.0,9.32,26.07,0
261,2.39,5.11,21372,0.0,14.15,41.63,1
262,3.02,3.74,35951,0.0,9.45,23.12,0
263,2.46,4.7,36222,0.0,15.92,20.68,1
264,2.65,5.5,44142,322.2,9.4,18.1,0
265,2.41,8.22,26272,476.9,15.55,25.97,0
266,2.39,7.44,18519,0.0,14.84,28.76,1
267,2.53,4.52,27111,0.0,8.87,21.86,0
268,2.25,3.38,51913,0.0,15.62,9.58,1
269,2.35,7.76,20213,0.0,14.22,33.58,1
270,2.67,7.09,27824,0.0,11.25,27.39,0
271,2.53,6.82,20950,0.0,12.36,24.71,0
272,2.45,3.01,51499,0.0,11.85,3.44,0
273,2.34,5.5,28388,652.2,18.67,18.06,1
274,2.66,5.1,32596,0.0,8.75,33.24,0
275,2.91,4.16,42822,0.0,8.6,15.79,0
276,2.54,6.11,28282,0.0,12.82,25.24,0
277,4.1,9.23,33273,0.0,10.37,49.37,1
278,2.14,3.27,45529,0.0,11.39,5.64,0
279,2.52,3.99,25505,0.0,9.04,24.61,0
280,2.48,4.78,32356,0.0,8.53,19.96,0
281,2.68,3.24,43379,0.0,10.78,7.72,0
282,2.93,2.38,60979,0.0,5.81,4.54,0
283,3.26,10.99,32857,0.0,10.16,36.73,1
284,2.72,5.56,46082,0.0,6.68,22.79,0
285,2.52,5.96,30534,544.0,12.17,15.88,1
286,2.38,6.92,35858,0.0,8.95,17.25,0
287,2.72,3.43,46612,0.0,9.36,4.04,0
288,3.09,3.41,50611,0.0,7.22,4.61,0
289,2.84,6.92,26615,0.0,11.65,37.12,1
290,2.73,5.17,39014,1295.5,11.9,11.62,0
291,2.32,4.21,26640,0.0,11.23,21.34,0
292,2.59,11.0,23491,0.0,16.73,25.73,1
293,2.45,7.98,26541,517.2,11.47,38.37,0
294,2.47,5.8,28024,827.4,13.58,18.13,1
295,2.83,2.73,59724,0.0,7.02,11.87,0
296,2.47,7.71,22430,0.0,13.45,27.19,0
297,3.19,9.73,28611,0.0,10.96,35.87,1
298,2.4,5.58,22697,365.3,13.83,16.96,1
299,2.97,3.77,39904,0.0,10.1,9.91,0
300,2.84,10.62,18593,0.0,13.56,37.86,1
301,2.66,10.58,16331,0.0,14.46,42.18,1
302,2.32,4.91,32615,0.0,12.07,14.4,0
303,2.06,2.57,29547,0.0,14.64,14.56,0
304,2.21,4.87,28791,0.0,13.07,15.86,0
305,2.87,7.8,30967,0.0,10.56,28.94,0
306,1.86,3.96,27834,0.0,8.84,19.28,0
307,2.48,9.11,21468,0.0,12.99,32.58,1
308,2.26,6.84,24127,0.0,13.21,21.56,1
309,2.48,13.05,17658,0.0,15.49,37.81,1
310,2.71,5.34,25268,0.0,13.4,32.03,1
311,2.81,2.64,45474,0.0,9.89,7.91,0
312,2.68,3.06,43620,0.0,9.83,5.49,0
313,2.51,3.05,32979,0.0,7.66,28.14,0
314,2.6,2.93,52126,0.0,5.81,13.63,0
315,3.4,7.31,42186,0.0,10.17,18.18,1
316,2.55,2.4,27373,0.0,9.64,15.2,0
317,2.84,3.75,65590,0.0,6.65,6.7,0
318,2.98,7.81,24596,0.0,8.89,12.34,0
319,2.32,3.09,34506,0.0,10.69,13.22,0
320,2.65,2.95,39683,0.0,8.02,13.83,0
321,2.78,4.09,48776,0.0,5.91,18.96,0
322,2.6,3.9,47518,0.0,10.26,10.47,0
323,2.73,7.43,25508,0.0,13.0,25.37,0
324,2.49,4.22,31877,0.0,10.78,14.54,0
325,2.55,4.52,29032,0.0,11.97,23.52,0
326,2.57,4.8,44109,0.0,7.27,12.3,0
327,2.79,4.18,49004,0.0,6.47,17.63,0
328,2.55,6.56,29450,0.0,12.5,23.23,1
329,2.3,7.48,22954,0.0,12.03,22.55,0
330,2.42,5.67,23963,526.8,13.85,27.54,1
331,3.18,4.92,17886,0.0,4.1,3.27,0
332,2.6,4.88,21615,0.0,7.8,25.32,0
333,2.41,5.19,23700,0.0,15.04,26.15,0
334,3.08,3.61,70919,0.0,9.34,7.13,0
335,2.64,6.29,25075,0.0,12.29,30.81,1
336,2.17,2.8,42487,0.0,12.86,11.75,0
337,2.33,2.06,34859,0.0,11.35,7.56,0
338,2.37,4.11,43578,0.0,10.85,14.02,0
339,2.38,2.28,36215,0.0,9.14,17.21,0
340,2.69,8.04,25943,0.0,10.29,23.66,0
341,2.43,10.31,20329,468.9,17.1,32.78,1
342,3.21,4.05,35018,0.0,9.74,11.27,0
343,2.4,11.58,18482,530.7,12.96,32.71,1
344,2.8,10.85,21885,647.8,14.81,33.63,1
345,2.87,5.42,31489,0.0,13.34,24.21,0
346,2.52,4.35,31177,0.0,9.28,18.63,0
347,2.49,7.04,33311,0.0,10.17,33.67,0
348,2.75,19.67,18742,369.9,17.88,37.85,0
349,2.23,4.69,24884,256.8,16.51,23.64,1
350,2.77,4.7,40018,0.0,10.8,9.28,0
351,2.59,4.87,25790,0.0,13.75,29.55,1
352,2.9,6.83,29463,0.0,12.33,24.77,1
353,2.71,3.62,39437,0.0,7.5,15.34,0
354,2.21,7.2,31146,0.0,11.22,25.41,1
355,2.8,6.67,36682,0.0,9.33,25.45,0
356,2.98,7.12,26136,0.0,9.23,38.5,0
357,2.97,8.74,19970,0.0,11.83,44.73,1
358,2.67,5.23,35615,0.0,10.94,9.36,0
359,2.83,5.47,29590,0.0,10.09,9.86,0
360,2.59,4.1,24869,0.0,12.47,16.16,1
361,2.63,6.89,30967,752.9,15.38,26.11,1
362,2.65,7.77,22102,367.0,14.93,29.91,1
363,2.6,3.62,38025,0.0,9.67,23.91,0
364,2.4,8.0,26179,0.0,15.25,37.57,0
365,2.72,3.06,52956,0.0,8.58,3.0,0
366,2.64,6.63,22661,0.0,9.47,20.99,1
367,2.38,2.86,28121,0.0,15.89,20.15,1
368,2.69,8.24,20810,0.0,12.61,39.28,1
369,2.63,3.8,65072,242.6,7.73,11.26,0
370,2.56,7.6,28183,507.1,15.82,23.06,1
371,2.38,6.59,24462,365.6,13.44,26.03,1
372,2.51,6.55,21060,434.3,9.61,29.59,0
373,2.77,4.72,34978,0.0,7.18,18.18,0
374,2.34,5.98,19420,0.0,13.88,27.03,0
375,2.6,4.64,32420,0.0,16.58,17.7,0
376,3.26,2.65,47517,0.0,7.03,16.88,0
377,2.58,9.74,27301,0.0,14.8,34.43,1
378,3.85,10.81,27279,0.0,9.33,59.05,1
379,2.66,7.43,26547,0.0,15.02,28.38,1
380,2.9,5.46,34492,0.0,9.74,19.36,1
381,2.52,4.66,24676,0.0,11.39,32.53,0
382,2.55,2.18,21344,0.0,8.8,20.81,0
383,2.82,4.79,35794,0.0,12.42,22.05,1
384,2.71,4.61,46885,0.0,8.6,13.96,0
385,4.14,1.66,47299,0.0,5.49,2.93,0
386,2.56,10.72,14555,0.0,13.67,31.18,1
387,2.16,3.01,60374,449.8,14.45,4.69,0
388,2.54,4.07,45964,0.0,15.45,11.68,0
389,2.87,5.36,32493,0.0,9.48,25.0,1
390,2.6,5.41,52442,357.1,10.52,13.03,0
391,2.99,5.32,30469,0.0,8.06,26.19,0
392,2.45,1.87,53140,0.0,7.3,4.29,0
393,2.61,9.38,21352,0.0,13.58,30.6,1
394,2.93,4.3,46116,0.0,10.68,16.32,0
395,3.09,5.29,40378,0.0,10.15,16.84,0
396,2.95,9.78,34929,0.0,12.2,31.06,0
397,2.95,6.41,45397,0.0,8.13,19.0,0
398,2.47,5.39,22783,0.0,10.87,21.71,1
399,2.67,3.64,45828,0.0,9.67,11.38,0
400,2.28,3.35,24947,0.0,11.06,34.12,0
401,2.67,5.82,31510,0.0,10.31,14.19,0
402,2.63,3.03,47629,0.0,7.5,10.13,0
403,2.58,11.85,14579,0.0,15.99,40.75,1
404,2.56,2.57,40602,0.0,8.24,17.23,0
405,2.56,8.98,23819,0.0,12.23,30.64,0
406,2.42,9.15,22806,0.0,13.7,25.4,0
407,3.14,3.25,57484,0.0,6.07,13.81,0
408,3.52,6.62,36383,0.0,9.25,43.5,1
409,2.51,4.98,30031,0.0,10.65,23.2,0
410,2.52,7.28,26684,0.0,12.37,26.21,0
411,2.38,3.45,26500,0.0,12.64,29.67,1
412,2.79,5.39,38802,0.0,14.14,17.51,0
413,3.11,3.64,43218,0.0,7.5,8.53,0
414,3.04,8.66,31561,0.0,14.59,25.62,1
415,2.5,5.13,32793,0.0,13.61,23.61,1
416,2.5,7.82,24131,1129.8,13.0,28.02,1
417,2.1,4.98,26233,0.0,13.55,22.5,1
418,2.09,4.36,40934,0.0,10.23,14.88,0
419,2.54,6.09,36526,0.0,10.35,26.23,0
420,2.9,3.18,62021,0.0,4.6,11.01,0
421,2.76,3.03,54834,0.0,7.51,12.1,0
422,3.31,8.12,36233,0.0,12.01,26.81,1
423,2.61,5.3,25910,0.0,13.37,37.58,1
424,2.75,9.91,30529,341.6,13.37,34.13,1
425,2.22,6.16,34873,381.7,10.12,30.22,1
426,3.17,9.65,20858,0.0,9.72,40.73,1
427,2.52,3.93,34472,0.0,10.73,22.19,0
428,2.55,4.31,24929,0.0,11.45,23.74,0
429,2.34,3.2,37025,0.0,12.09,11.12,1
430,2.44,5.79,25372,0.0,14.76,25.4,0
431,2.49,5.35,34091,0.0,11.27,21.36,0
432,2.9,2.27,66930,0.0,5.83,7.08,0
433,2.74,4.04,46057,0.0,7.41,21.69,0
434,2.68,6.81,23886,0.0,9.49,24.81,1
435,2.49,6.92,22276,0.0,11.96,34.35,1
436,2.88,4.33,29324,0.0,8.84,34.22,0
437,2.78,3.64,65994,0.0,5.88,5.96,0
438,2.42,7.06,25759,0.0,10.47,21.56,0
439,2.45,7.53,25535,0.0,14.49,22.09,0
440,2.69,5.28,34887,0.0,9.68,32.12,0
441,2.7,3.36,110550,0.0,6.42,4.27,0
442,2.73,6.45,30739,0.0,13.64,27.68,1
443,2.79,7.55,17254,0.0,8.55,32.68,0
444,2.85,5.81,42044,0.0,8.04,17.46,0
445,3.42,2.67,83975,0.0,3.92,12.06,0
446,2.56,3.76,41875,0.0,9.68,16.81,0
447,2.84,5.53,30896,0.0,12.66,19.47,0
448,3.05,8.12,19672,0.0,6.09,16.0,0
449,2.48,8.5,20585,0.0,14.1,32.0,0
450,2.72,4.15,36221,0.0,8.03,19.76,0
451,2.5,5.26,35951,0.0,11.7,19.78,0
452,2.45,5.01,31726,0.0,6.85,33.85,0
453,2.41,5.0,39651,0.0,9.64,19.73,0
454,2.37,6.2,33414,731.6,11.9,21.98,1
455,2.78,5.35,38907,0.0,13.54,17.52,1
456,2.67,5.52,23212,0.0,8.21,7.93,0
457,3.33,8.61,33313,0.0,12.04,40.94,1
458,2.17,4.82,41040,0.0,10.05,12.67,0
459,3.09,5.37,39916,0.0,9.94,24.15,0
460,2.56,5.13,36211,386.0,11.51,27.41,0
461,1.94,4.81,35997,697.4,16.26,12.51,1
462,2.78,2.63,64538,0.0,6.52,5.48,0
463,2.6,6.33,28496,0.0,10.2,33.06,0
464,2.62,2.46,34061,0.0,8.84,15.88,0
465,2.68,5.84,30287,0.0,11.27,17.89,1
466,2.65,4.36,31833,0.0,12.79,16.35,0
467,2.58,8.85,22032,498.8,12.17,27.67,1
468,3.65,5.85,21162,0.0,4.58,10.15,0
469,2.51,7.5,24051,0.0,12.19,36.26,0
470,2.74,7.35,26809,406.1,12.35,23.55,0
471,2.48,5.73,25324,0.0,10.32,23.31,0
472,2.62,5.11,33646,0.0,9.03,19.16,0
473,3.07,4.9,17738,0.0,6.35,13.3,0
474,2.75,6.6,25698,0.0,11.15,15.5,1
475,2.8,4.74,37500,0.0,9.52,19.1,0
476,2.45,3.51,36431,0.0,10.53,18.2,0
477,2.96,2.55,48137,0.0,8.08,8.46,0
478,2.54,9.86,22100,0.0,10.93,31.84,1
479,2.32,8.03,32332,0.0,9.45,30.42,0
480,3.02,2.84,60900,0.0,4.41,7.47,0
481,2.31,10.56,16442,0.0,13.57,31.86,1
482,3.35,4.23,46027,0.0,6.3,7.65,0
483,2.91,11.85,26372,0.0,16.17,28.95,1
484,2.42,5.58,29133,0.0,12.7,30.85,0
485,2.22,6.77,25106,728.4,16.61,20.8,1
486,3.27,8.29,24103,0.0,10.26,46.07,0
487,2.95,5.55,40321,0.0,8.13,21.5,0
488,2.97,4.53,32984,0.0,11.77,17.79,0
489,2.63,3.53,38122,0.0,13.3,11.89,1
490,2.47,4.22,25976,0.0,9.65,23.96,0
491,2.69,4.45,42783,0.0,8.94,19.84,0
492,2.6,3.66,38531,0.0,10.55,14.85,0
493,2.57,3.19,45999,0.0,9.26,15.9,0
494,2.77,7.25,25918,327.1,12.71,18.56,1
495,2.38,8.38,17985,0.0,12.26,26.87,0
496,2.62,6.47,22210,308.9,14.52,38.62,1
497,2.63,10.56,21225,303.7,13.29,30.58,1
498,2.62,5.21,51173,0.0,10.66,10.6,0
499,2.79,5.82,27154,0.0,5.98,21.41,1
500,2.63,3.63,47347,0.0,9.73,11.12,0
501,2.94,4.52,53130,0.0,4.85,7.96,0
502,2.55,8.28,21881,0.0,13.57,36.9,1
503,2.77,2.08,71905,0.0,6.19,7.67,0
504,3.42,9.83,25976,0.0,11.59,48.01,1
505,2.56,3.17,34891,0.0,13.27,22.1,1
506,2.6,3.24,61572,0.0,8.68,3.24,0
507,2.84,5.23,37050,0.0,11.14,14.96,0
508,2.97,6.84,21312,0.0,6.17,9.64,0
509,2.7,3.63,55476,0.0,6.4,12.32,0
510,2.81,5.3,22476,0.0,6.31,15.13,0
511,2.66,5.93,27469,461.7,12.83,20.66,1
512,2.6,4.75,20970,0.0,11.29,39.6,0
513,2.77,2.57,54469,0.0,6.24,12.62,0
