"PolicReqPerOffic","medIncome","householdsize","PctUnemployed","TotalPctDiv","agePct12t29","PctNotHSGrad","MedRent","OfficAssgnDrugUnits","label"
0,18357,2.49,9.5,13.15,25.38,33.47,303,0,"1"
693.2,21748,2.49,8.12,14.15,31.47,21.39,377,30,"1"
0,19157,2.62,8.51,10.51,25.11,41.2,282,0,"1"
0,37683,2.76,7.31,12.32,27.85,14.63,797,0,"1"
0,33411,2.47,7.22,10.93,21.74,11.27,673,0,"1"
422.6,25592,2.34,6.16,16.07,25.57,17.1,397,37,"1"
334,47204,2.53,3.95,11.64,25.37,12.38,795,8,"1"
0,42962,2.59,3.82,13.43,27.2,18.45,728,0,"1"
371.8,25811,2.66,9.25,12.44,34.55,28.97,568,12,"1"
0,18095,2.66,8.37,14.97,27.88,49.27,316,0,"1"
0,19063,2.67,9.13,10.44,29.26,39.06,278,0,"1"
0,37073,2.75,4.78,12.03,27.56,15.38,588,0,"1"
0,24292,3.29,11.09,12.74,30.79,42.85,393,0,"1"
0,30141,2.11,4.77,19.11,30.87,15.18,488,0,"1"
0,32877,2.45,3.62,12.39,28.11,18.08,422,0,"1"
974.6,23453,2.47,5.56,11.51,42.67,14.48,444,19,"1"
0,31671,2.8,7.85,13.1,26.89,23.84,484,0,"1"
1077.1,21407,2.59,8.74,14.39,28.26,31.67,351,6,"1"
0,21238,2.67,8.15,12.16,27.12,35.92,337,0,"1"
660.7,30925,2.86,8.34,12.26,31.22,33,600,406,"1"
0,33969,2.76,7.53,8.63,28.54,42.64,598,0,"1"
0,28655,3.66,4.37,10.62,40.78,22.08,630,0,"1"
0,22059,2.67,4.91,8.97,45.3,12.8,382,0,"1"
0,20711,2.53,10.38,13.43,24.58,27.85,344,0,"1"
570.8,22192,2.36,8.12,15.82,26.71,16.79,344,16,"1"
0,21221,3.29,5.4,10.37,33.31,22.13,354,0,"1"
0,23269,2.25,8.89,16.77,20.98,39.4,484,0,"1"
387.4,25655,2.81,10.87,14.53,29.54,49.46,505,8,"1"
403.2,28289,3.28,8.85,8.74,49.87,34,640,6,"1"
0,19397,2.86,8.38,11.92,26.81,37.41,319,0,"1"
0,29206,3.37,10.6,14.87,33.41,39.39,586,0,"1"
0,20864,2.88,12.4,14.44,29.11,37.84,392,0,"1"
0,20745,2.44,7.56,11.41,26.55,35.01,301,0,"1"
766.1,22772,2.44,6.54,16.66,27.51,29.37,408,41,"1"
581.6,27489,2.5,7.43,15.58,31.03,26.55,426,90,"1"
0,24814,2.49,6.64,15.61,19.57,27.56,529,0,"1"
0,42971,2.4,4.13,14.22,24.22,15.85,788,0,"1"
378.3,22112,2.5,8.63,14.07,28.24,41.57,352,10,"1"
0,17826,2.89,10.69,7.37,46.46,21.53,329,0,"1"
893.9,32165,2.67,9.43,16.07,26.57,23.31,566,29,"1"
0,15917,2.72,10.89,13.35,27.15,39.46,264,0,"1"
0,64338,3.17,3.64,6.55,33.08,9.98,716,0,"1"
0,19474,2.57,9.88,16.23,26.6,21.66,356,0,"1"
0,38532,3.04,7,12.46,29.12,23.51,622,0,"1"
946.2,31938,2.7,6.54,13.78,31.13,24.49,605,27,"1"
0,19829,2.41,8.57,14.2,24.32,38.97,343,0,"1"
0,21864,2.81,7.67,12.97,33.9,30.5,359,0,"1"
551.6,25741,2.49,7.06,15.53,27.17,21.78,364,30,"1"
0,21946,2.88,9.97,11.21,27.52,35.51,333,0,"1"
0,18962,3.11,9.97,10.33,27.12,41.74,306,0,"1"
0,22610,2.59,7.4,14.75,35.51,17.96,390,0,"1"
0,22032,3.41,14.95,8.21,29.5,50.72,376,0,"1"
0,16600,2.28,12.8,17.75,18.64,38.79,437,0,"1"
0,34850,2.67,7.41,11.96,26.3,29.22,532,0,"1"
0,14509,3.11,14.52,11.04,37.21,32.7,305,0,"1"
0,18743,2.52,8.5,13.34,25.52,34.74,340,0,"1"
0,28824,2.28,5.26,10.86,20.12,26.93,632,0,"1"
0,22224,2.94,11.79,13.73,30.82,42.12,533,0,"1"
241.9,35911,2.55,6.69,9.33,23.9,31.78,594,12,"1"
0,25982,2.68,6.32,15.97,28.34,35.51,477,0,"1"
0,43882,3.53,7.17,10.68,29.52,28.65,721,0,"1"
0,36843,2.64,4.66,13.64,26.77,19.32,581,0,"1"
0,26680,2.43,5.91,13.48,24.46,19.67,455,0,"1"
0,21372,2.39,5.11,14.15,24.44,41.63,317,0,"1"
0,36222,2.46,4.7,15.92,27.17,20.68,702,0,"1"
0,18519,2.39,7.44,14.84,25.72,28.76,335,0,"1"
0,51913,2.25,3.38,15.62,29.76,9.58,863,0,"1"
0,20213,2.35,7.76,14.22,22.27,33.58,358,0,"1"
652.2,28388,2.34,5.5,18.67,28.35,18.06,492,15,"1"
0,33273,4.1,9.23,10.37,35.04,49.37,606,0,"1"
0,32857,3.26,10.99,10.16,30.76,36.73,546,0,"1"
544,30534,2.52,5.96,12.17,33.02,15.88,593,7,"1"
0,26615,2.84,6.92,11.65,34.13,37.12,438,0,"1"
0,23491,2.59,11,16.73,28.92,25.73,391,0,"1"
827.4,28024,2.47,5.8,13.58,27.54,18.13,395,13,"1"
0,28611,3.19,9.73,10.96,30.84,35.87,442,0,"1"
365.3,22697,2.4,5.58,13.83,29.8,16.96,333,24,"1"
0,18593,2.84,10.62,13.56,30.69,37.86,270,0,"1"
0,16331,2.66,10.58,14.46,25.8,42.18,270,0,"1"
0,21468,2.48,9.11,12.99,24.38,32.58,273,0,"1"
0,24127,2.26,6.84,13.21,25.86,21.56,356,0,"1"
0,17658,2.48,13.05,15.49,25.87,37.81,289,0,"1"
0,25268,2.71,5.34,13.4,25.82,32.03,400,0,"1"
0,42186,3.4,7.31,10.17,28.36,18.18,675,0,"1"
0,29450,2.55,6.56,12.5,24.39,23.23,459,0,"1"
526.8,23963,2.42,5.67,13.85,30.22,27.54,367,124,"1"
0,25075,2.64,6.29,12.29,25.85,30.81,402,0,"1"
468.9,20329,2.43,10.31,17.1,27.42,32.78,363,5,"1"
530.7,18482,2.4,11.58,12.96,29.24,32.71,352,33,"1"
647.8,21885,2.8,10.85,14.81,30.27,33.63,332,23,"1"
256.8,24884,2.23,4.69,16.51,22.78,23.64,492,26,"1"
0,25790,2.59,4.87,13.75,26.08,29.55,321,0,"1"
0,29463,2.9,6.83,12.33,26.95,24.77,461,0,"1"
0,31146,2.21,7.2,11.22,18.34,25.41,599,0,"1"
0,19970,2.97,8.74,11.83,29.57,44.73,351,0,"1"
0,24869,2.59,4.1,12.47,32.97,16.16,435,0,"1"
752.9,30967,2.63,6.89,15.38,33.47,26.11,629,4,"1"
367,22102,2.65,7.77,14.93,29.08,29.91,390,32,"1"
0,22661,2.64,6.63,9.47,44.56,20.99,374,0,"1"
0,28121,2.38,2.86,15.89,26.43,20.15,608,0,"1"
0,20810,2.69,8.24,12.61,24.11,39.28,455,0,"1"
507.1,28183,2.56,7.6,15.82,27.55,23.06,495,52,"1"
365.6,24462,2.38,6.59,13.44,24.59,26.03,403,19,"1"
0,27301,2.58,9.74,14.8,28.12,34.43,557,0,"1"
0,27279,3.85,10.81,9.33,34.74,59.05,549,0,"1"
0,26547,2.66,7.43,15.02,30.16,28.38,403,0,"1"
0,34492,2.9,5.46,9.74,24.75,19.36,463,0,"1"
0,35794,2.82,4.79,12.42,26.33,22.05,610,0,"1"
0,14555,2.56,10.72,13.67,26.77,31.18,266,0,"1"
0,32493,2.87,5.36,9.48,26.96,25,410,0,"1"
0,21352,2.61,9.38,13.58,26.71,30.6,305,0,"1"
0,22783,2.47,5.39,10.87,24.34,21.71,301,0,"1"
0,14579,2.58,11.85,15.99,26.23,40.75,234,0,"1"
0,36383,3.52,6.62,9.25,29.95,43.5,700,0,"1"
0,26500,2.38,3.45,12.64,25.01,29.67,393,0,"1"
0,31561,3.04,8.66,14.59,29.79,25.62,509,0,"1"
0,32793,2.5,5.13,13.61,28.02,23.61,540,0,"1"
1129.8,24131,2.5,7.82,13,26.16,28.02,410,34,"1"
0,26233,2.1,4.98,13.55,18.79,22.5,507,0,"1"
0,36233,3.31,8.12,12.01,28.59,26.81,583,0,"1"
0,25910,2.61,5.3,13.37,26.84,37.58,378,0,"1"
341.6,30529,2.75,9.91,13.37,29.55,34.13,561,3,"1"
381.7,34873,2.22,6.16,10.12,37.46,30.22,560,13,"1"
0,20858,3.17,9.65,9.72,29.2,40.73,332,0,"1"
0,37025,2.34,3.2,12.09,28.88,11.12,562,0,"1"
0,23886,2.68,6.81,9.49,33.35,24.81,387,0,"1"
0,22276,2.49,6.92,11.96,25.4,34.35,317,0,"1"
0,30739,2.73,6.45,13.64,26.13,27.68,499,0,"1"
731.6,33414,2.37,6.2,11.9,26.71,21.98,653,110,"1"
0,38907,2.78,5.35,13.54,28.69,17.52,652,0,"1"
0,33313,3.33,8.61,12.04,29.07,40.94,629,0,"1"
697.4,35997,1.94,4.81,16.26,21.72,12.51,532,6,"1"
0,30287,2.68,5.84,11.27,26.35,17.89,510,0,"1"
498.8,22032,2.58,8.85,12.17,28.31,27.67,314,8,"1"
0,25698,2.75,6.6,11.15,33.21,15.5,443,0,"1"
0,22100,2.54,9.86,10.93,31.87,31.84,363,0,"1"
0,16442,2.31,10.56,13.57,22.58,31.86,274,0,"1"
0,26372,2.91,11.85,16.17,30.19,28.95,460,0,"1"
728.4,25106,2.22,6.77,16.61,25.92,20.8,386,52,"1"
0,38122,2.63,3.53,13.3,29.22,11.89,676,0,"1"
327.1,25918,2.77,7.25,12.71,30.2,18.56,376,6,"1"
308.9,22210,2.62,6.47,14.52,32.09,38.62,390,0,"1"
303.7,21225,2.63,10.56,13.29,27.58,30.58,339,9,"1"
0,27154,2.79,5.82,5.98,28.18,21.41,354,0,"1"
0,21881,2.55,8.28,13.57,27.53,36.9,333,0,"1"
0,25976,3.42,9.83,11.59,33.32,48.01,495,0,"1"
0,34891,2.56,3.17,13.27,30.3,22.1,582,0,"1"
461.7,27469,2.66,5.93,12.83,31.25,20.66,439,21,"1"
0,22514,2.77,10.81,12.51,22.42,36.72,471,0,"1"
0,24649,3.04,10.21,11.77,26.83,36.97,410,0,"1"
0,16496,2.72,12.39,12.88,30.85,40.41,311,0,"1"
0,19456,2.73,9.68,14.39,26.34,37.38,329,0,"1"
0,31368,2.91,6.05,10.17,30.72,27.91,636,0,"1"
0,23933,2.47,6.96,15.36,25.89,31.74,348,0,"1"
0,35516,2.36,5.37,15.58,27.72,19.83,602,0,"1"
0,18049,2.45,6.47,12.65,25.16,52.39,309,0,"1"
0,23835,2.46,5.61,13.61,26.3,26.71,315,0,"1"
252.9,29180,2.51,8.32,10.24,35.85,24.3,625,72,"1"
0,18393,2.89,6.83,7.36,58.57,13.51,403,0,"1"
0,18870,2.62,9,13.71,27.54,34.91,329,0,"1"
0,22194,2.54,8.29,18.77,35.05,25,478,0,"1"
410.2,27631,2.81,9.91,11.56,28.63,41.52,520,22,"1"
0,25341,2.97,6.29,10.59,37.04,18.69,377,0,"1"
310.9,26960,3.21,11.04,12.67,31.29,45.12,524,36,"1"
0,31308,2.79,4.07,12,34.44,17.79,470,0,"1"
0,35558,3.32,7.37,11.77,31.12,28.02,577,0,"1"
0,20393,3.27,14.88,10.56,30.17,52.91,300,0,"1"
0,19038,2.74,8.71,14.42,27.81,38.02,276,0,"1"
0,38956,2.26,3.76,13.27,38.38,8.76,705,0,"1"
0,33367,2.96,8.43,13.28,31.95,29.64,718,0,"1"
285.4,21898,2.63,9.35,12.37,32.79,23.24,354,20,"1"
0,21645,2.65,6.1,13.52,26.26,40.08,299,0,"1"
0,18617,2.65,9.85,12.82,29.43,53.08,401,0,"1"
0,24128,3.42,15.46,7.91,32.3,46.11,431,0,"1"
0,15708,2.24,6.68,15.04,20.87,35.62,306,0,"1"
0,17876,3.56,8.13,15.85,45.9,26.65,389,0,"1"
0,22807,2.84,7.58,11.91,27.22,33.58,324,0,"1"
339.8,29881,3.04,10,15.42,32.09,34,618,12,"1"
0,18253,2.53,8.17,14.46,24.79,38.47,281,0,"1"
478.9,25708,2.36,6.09,15.18,27.1,17.74,358,32,"1"
0,30786,2.46,7.59,9.73,28.31,27.07,611,0,"1"
0,30043,2.62,5.96,14.28,26.55,25.29,440,0,"1"
0,37889,2.72,8.27,10.59,25.71,20.07,601,0,"1"
0,40059,2.76,6.65,7.42,25.62,23.43,545,0,"1"
1232.5,32132,3.61,9.08,11.11,32.83,40.4,592,7,"1"
0,21870,2.76,6.51,13.03,26.56,30.72,343,0,"1"
0,19799,2.05,4.87,9.6,53.03,11.13,463,0,"1"
282.9,26889,2.42,5.26,14.4,27.86,18.05,415,4,"1"
0,20349,2.6,6.6,14.53,24.79,34.89,329,0,"1"
0,19042,2.27,8.53,16.79,25.56,22.87,313,0,"1"
0,26622,3.09,5.77,12.6,27.32,24.92,353,0,"1"
458.6,20641,2.38,10.83,12.33,24.51,32.33,330,10,"1"
398.9,29211,2.75,7.29,8.54,24.83,27.3,586,6,"1"
665.2,21824,2.99,4.82,14.78,41.2,26.15,410,4,"1"
392.2,24898,2.48,8.23,16.08,26.48,30.7,489,4,"1"
0,24375,2.6,4.44,11.24,23.46,35.31,327,0,"1"
0,36097,2.8,4.26,9.35,24.73,25.15,476,0,"1"
557.9,23270,2.74,8.79,13.3,29.7,24.97,388,14,"1"
0,31889,3.27,8.28,12.21,35.99,37.27,650,0,"1"
0,46758,2.77,5.32,11.38,24.15,19.9,575,0,"1"
421.4,19779,2.51,10.39,17.53,29.63,31.66,329,12,"1"
0,35681,2.34,5.29,13.18,22.85,20.55,650,0,"1"
0,31448,2.78,4.22,10.78,29.77,16.7,416,0,"1"
0,44002,2.27,2.22,14.85,33.22,13.22,627,0,"1"
0,41922,2.39,4.77,14.02,24.63,11.04,730,0,"1"
745.3,23460,3.21,9.85,11.54,31.16,34.67,349,36,"1"
0,21053,2.32,6.66,11.2,21.79,25.28,274,0,"1"
0,36634,2.81,7.65,8.68,26.28,26.99,533,0,"1"
0,16574,2.72,7.72,14.98,26.01,45.64,273,0,"1"
0,37473,2.63,5.45,12.72,26.06,13.94,445,0,"1"
0,22365,3.27,14.81,10.98,29.52,48.61,364,0,"1"
0,21483,3.01,9.57,13.03,28.62,41.9,333,0,"1"
507.4,25533,3.01,10.69,15.47,30.37,31.91,485,44,"1"
0,29314,1.6,7.04,15.57,23.07,15.06,608,0,"1"
722.4,22785,2.47,8.8,15.12,31.43,31.21,442,34,"1"
565,29351,2.79,10.68,10.84,32.56,34.21,561,19,"1"
0,25576,2.78,6.83,12.03,27.08,29.31,354,0,"1"
0,25689,2.58,5.04,13.98,29.56,31.82,393,0,"1"
662,26218,2.56,6.51,11.85,27.75,21.19,351,6,"1"
314.7,32451,2.42,3.97,11.97,35.77,13.44,479,29,"1"
390.3,17386,3.29,16.3,16.34,31.78,50.33,414,9,"1"
519.5,28034,4.06,9.4,9.9,35.51,55.72,600,11,"1"
644.3,25414,2.42,6.32,13.62,35.98,17.67,410,22,"1"
0,20095,2.54,9.47,11.5,24.53,31.64,249,0,"1"
0,18683,2.57,7.69,12.92,30.4,43.05,296,0,"1"
0,23497,2.77,7.89,8.96,26.13,36.01,339,0,"1"
0,25380,2.42,6.91,11.45,20.95,25.82,424,0,"1"
0,21310,2.43,8.55,10.45,26.07,34.17,339,0,"1"
378.4,22591,2.35,5.47,15.09,25.45,32.03,336,14,"1"
550.6,26713,2.45,7.23,15.22,27.17,21.2,404,44,"1"
0,21459,2.44,6.99,10.96,27.79,29.79,305,0,"1"
0,38124,3.58,6.64,10.85,30.88,35.34,706,0,"1"
205.7,36376,2.61,6.48,9.21,25.74,26.45,522,31,"1"
0,17959,2.67,9.38,17.86,26.49,37.67,315,0,"1"
0,19955,3.03,4.96,12.71,31.68,25.12,332,0,"1"
576.2,46206,3.13,5.54,11.64,30.37,22.84,755,6,"1"
0,28911,2.84,7.17,12.2,26.23,20.14,378,0,"1"
0,20099,2.47,6.23,13.95,26.42,44.71,303,0,"1"
0,25567,4.29,12.22,7.89,37.95,72.05,525,0,"1"
749,22423,2.6,6.9,14.35,28.38,34.09,341,29,"1"
0,26629,2.85,9.04,12.99,28.08,29.01,421,0,"1"
150.6,31873,2.49,4.16,13.26,28.82,19.02,462,11,"1"
0,25473,2.53,4.09,12.18,26.57,33.83,389,0,"1"
398.9,22197,2.45,6.9,15.18,26.7,31.04,360,26,"1"
0,25855,2.67,5.14,11.01,28.66,25.58,346,0,"1"
0,32145,2.45,4.22,15.5,27.8,13.79,510,0,"1"
0,20463,2.49,7.81,14.58,23.15,28.02,318,0,"1"
337,18477,2.64,12.41,15.11,28.67,31.86,379,71,"1"
0,11576,3.09,17.87,15.97,29.24,46.29,242,0,"1"
342.9,32605,3.11,6.15,8,28.54,30.03,661,4,"1"
0,26934,2.56,7.2,13.59,27.69,32.58,389,0,"1"
368,22446,2.6,9.13,13.52,27.92,25.16,332,18,"1"
607.5,19187,2.43,8.36,12.82,24.64,38.49,270,4,"1"
0,21633,3,10.18,14.35,27.04,36.98,391,0,"1"
699.2,23216,2.89,5.87,12.24,39.87,23.98,392,48,"1"
0,23630,2.1,6.83,11.88,15.9,20.63,455,0,"1"
0,21011,2.37,6.12,15.12,25.8,40.25,353,0,"1"
892,26630,2.46,5.91,13.93,34.21,21.31,422,41,"1"
527.3,36945,2.63,7.13,10.52,27.84,21.96,586,4,"1"
0,27415,3.73,11.48,9.7,33.35,59.06,540,0,"1"
1164.2,37174,3.62,6.71,10.79,31.94,38.66,686,6,"1"
0,26086,2.42,4.77,14.24,28.4,31.17,425,0,"1"
0,32237,2.21,4.17,10.98,27.16,14.65,455,0,"1"
375.1,33140,2.43,5.15,9.51,37.35,15.65,538,11,"1"
278.3,30121,2.5,7.84,10.84,30.11,35.25,512,10,"1"
503.8,24045,2.66,9.16,15.65,27.66,39.35,413,100,"1"
0,39538,2.3,3.64,11.39,20.18,10.69,695,0,"1"
272.9,22068,3.37,10.26,9.11,30.81,42.14,340,0,"1"
0,26409,2.73,5.93,10.22,25.06,31.59,420,0,"1"
0,20731,2.29,7.49,11.98,22.1,31.89,544,0,"1"
1428.6,24971,4.05,14.33,13.12,33.51,48.77,549,12,"1"
0,24081,2.52,4.31,12.48,25.94,30.65,353,0,"1"
0,24712,2.52,5.75,15.16,34.11,27.62,468,0,"1"
0,18619,2.56,8.15,16.38,24.5,33.24,312,0,"1"
0,17058,2.36,7.05,14.03,24.88,45.4,270,0,"1"
0,44700,2.82,4.33,10.79,25.05,18.63,802,0,"1"
0,21078,2.53,7.38,14.22,26.2,36.57,294,0,"1"
0,21946,2.76,4.7,8.53,29.61,35.7,339,0,"1"
0,45820,2.79,4.48,11.16,23.2,14.57,744,0,"1"
453.4,22674,2.66,8.71,15.52,28.77,29.57,373,120,"1"
0,35228,2.95,4.74,7.94,30.61,15,676,0,"1"
0,54497,1.99,1.87,14.35,35.23,4.11,886,0,"1"
0,25021,2.48,5.06,13.56,26.08,27.58,356,0,"1"
367,18548,2.63,12.78,13.95,24.99,34.55,320,6,"1"
0,15531,3,16.51,11.2,41.83,27.97,299,0,"1"
373.4,43148,1.99,2.99,9.37,11.44,11.17,543,29,"1"
0,26710,2.17,4.21,17.92,20.86,20.04,507,0,"1"
0,20594,2.88,7.11,14.95,30.07,44.42,410,0,"1"
0,39087,2.68,4.84,12.53,28.5,13.13,523,0,"1"
0,15605,3.8,16.97,7.6,32.69,58.41,254,0,"1"
0,29492,3.08,7.78,11.62,29.45,34.29,548,0,"1"
671.6,28242,2.48,5.46,13.12,25.52,21.65,387,6,"1"
155.2,28377,2.95,10.91,11.72,29.47,49.75,568,12,"1"
0,33527,2.91,6.97,12.19,27.24,27.44,566,0,"1"
0,41187,2.96,6.38,8.82,26.9,28.39,633,0,"1"
0,22577,2.66,5.78,11.19,34.62,26.26,391,0,"1"
0,78965,2.89,2.83,6.31,19.86,4.84,991,0,"1"
0,20374,2.77,8.37,14.49,24.17,36.91,283,0,"1"
0,40683,2.7,5.4,6.38,23.98,25.34,430,0,"1"
0,39967,2.83,5.51,12.13,30.43,23.7,685,0,"1"
0,15795,2.37,8.39,12.03,30.44,29.43,283,0,"1"
0,22168,3.08,12.79,12.79,27.55,39.22,407,0,"1"
434.8,35103,2.62,6.3,12.08,28.85,22.48,630,40,"1"
0,27552,2.66,6.07,10.75,27.96,26.91,372,0,"1"
0,20380,2.46,7.43,13.23,28.19,27.12,398,0,"1"
0,21003,2.5,7.63,16.34,27.87,37.55,305,0,"1"
2056,30273,2.67,5.11,11.62,29.13,15.21,470,10,"1"
0,19030,2.62,8.66,13.48,25.9,38.36,286,0,"1"
66.8,18546,2.71,11.25,14.05,27.45,31.37,332,11,"1"
405.3,43946,2.74,6.46,14.62,28.98,9.61,564,16,"1"
0,30938,2.58,5.46,9.93,33.11,16.55,475,0,"1"
0,19507,2.5,6.21,14.42,24.46,31.06,298,0,"1"
528.5,23430,2.6,8.73,11.66,31.09,24.79,333,20,"1"
0,19016,2.6,7.17,14.34,26.95,32.59,334,0,"1"
0,21881,2.45,7.83,15.18,25.55,29.65,364,0,"1"
0,20309,2.41,9.63,17.11,26.47,41.66,434,0,"1"
0,26701,3.1,7.84,11.51,30.15,22.86,446,0,"1"
0,41449,2.81,6.22,5.73,22.52,28.52,518,0,"1"
0,22129,3.67,8.18,12.12,37.89,41.07,476,0,"1"
0,20382,2.07,9.76,12.24,17.88,32.67,500,0,"1"
0,26394,2.63,5.97,10.61,38.51,23.03,388,0,"1"
0,27095,2.61,10.77,11.23,24.33,24.91,437,0,"1"
0,26470,2.77,4.37,10.61,34.37,12.4,400,0,"1"
0,36886,3.04,6.11,12.54,30.66,15.84,563,0,"1"
0,21344,2.75,11.64,13.27,27.91,49.73,372,0,"1"
682,24923,2.91,8.52,13.8,29.81,30.99,441,42,"1"
506.9,15890,3.76,15.3,9.56,33.08,54.51,292,7,"1"
0,20298,2.57,7.88,12.01,25.52,36.28,335,0,"1"
337,41921,2.79,4.66,11.2,31.81,17.28,706,11,"1"
0,21618,2.47,6.94,15.85,25.35,26.71,338,0,"1"
510.8,25983,2.46,6.26,12.07,27.39,30.56,434,13,"1"
0,24294,2.35,3.91,13.66,25.06,34.52,338,0,"1"
346.2,19390,2.85,16.6,16.98,27.6,35.24,335,16,"1"
434.9,26883,2.62,8.93,12.56,26.9,30.67,377,4,"1"
0,18913,2.6,12.39,15.73,24.47,43.15,401,0,"1"
0,24146,2.41,4,10.03,25.17,20.34,322,0,"1"
0,17826,2.64,9.51,12.18,27.99,35.35,306,0,"1"
0,22053,2.96,10.29,9.63,34.78,35.79,343,0,"1"
683.7,31885,2.55,5.19,11.25,38.87,10.08,496,11,"1"
0,21205,2.52,6.93,14.08,25.45,29.52,356,0,"1"
0,30693,2.48,8.57,13.16,26.7,28.15,601,0,"1"
0,27483,2.55,5.16,17.81,31.84,22.83,418,0,"1"
0,22504,2.47,6.66,11.28,23.7,39.42,331,0,"1"
0,18683,2.6,8.99,17.24,29.51,45.84,330,0,"1"
0,26950,2,4.79,11.32,18.5,25.73,611,0,"1"
0,26877,2.1,7.16,13.57,18.62,19.48,488,0,"1"
163.9,20141,2.38,8.24,15.72,26.4,32.81,308,2,"1"
0,17552,2.75,8.82,12.79,27.19,39.11,297,0,"1"
0,21061,2.79,12.83,15.97,28.45,30.73,329,0,"1"
376,25153,2.61,5.15,11.62,33.2,23.46,428,6,"1"
562.5,26576,2.28,6.75,13.46,30.02,16.81,504,7,"1"
0,27256,2.44,4.72,12.71,32.98,21.54,440,0,"1"
0,34050,2.96,7.89,11.14,26.16,19.86,534,0,"1"
0,25926,2.94,7.9,13.16,27.54,28.01,402,0,"1"
229.7,21006,2.36,7.84,14.85,29.98,30.39,329,47,"1"
0,25000,2.48,7.44,12.01,26.41,26.45,363,0,"1"
0,17196,2.28,7.51,14.81,22.25,30.99,257,0,"1"
551.7,30590,2.59,6.57,18.4,27.06,23.7,490,31,"1"
0,21558,5.28,12.35,8.44,39.97,42.24,379,0,"1"
381.5,21038,2.59,8.38,16.07,28.24,36.08,336,18,"1"
0,18858,2.84,8.69,11.87,31.45,33.68,348,0,"1"
0,30908,2.76,6.24,13.18,27.34,30.39,649,0,"1"
614.5,27371,2.22,5.33,16.26,35.99,18.66,539,44,"1"
0,42748,2.41,5.03,13.02,28.07,21.61,640,0,"1"
0,15570,2.7,17.4,12.1,24.59,44.6,251,0,"1"
468.1,20609,2.36,6.21,13.98,30.71,26.95,392,6,"1"
463.6,24130,2.69,6.56,10.98,35.04,24.43,381,14,"1"
426.5,30733,2.92,7.2,11.5,27.2,38.66,511,8,"1"
426.5,31712,2.82,9.22,11.52,28.6,25.62,571,7,"1"
402.4,26119,2.51,4.56,16.18,34.53,21.9,506,70,"1"
0,59076,3.54,3.67,6.83,28.65,10.78,1001,0,"1"
0,25384,2.53,5.73,13.09,25.71,39.17,373,0,"1"
0,24296,2.06,3.9,12.87,19.71,22.95,473,0,"1"
1630.1,24316,2.36,7.16,13.26,29.18,25.24,428,7,"1"
0,15576,2.63,9.73,12.61,38.93,26.04,304,0,"1"
1831.5,27095,2.58,9.38,15.68,27.02,25.61,538,23,"1"
527.4,18631,2.25,7.89,14.77,31.84,26.4,420,13,"1"
0,12908,3.53,17.42,9.12,30.86,58.05,192,0,"1"
0,26144,2.7,8.15,15.11,26.94,28.58,365,0,"1"
963.3,42481,3.19,4.96,11.15,29.44,19.41,733,11,"1"
617.3,22886,2.56,7.94,14.36,26.52,33.44,363,20,"1"
0,18641,2.68,6.76,14.15,26.95,40.25,252,0,"1"
0,50468,2.37,3.23,12.85,21.09,10.33,853,0,"1"
