"medIncome","assaults","label"
26311,1007,"1"
31441,506,"1"
22894,265,"1"
31271,844,"1"
40221,89,"1"
36605,949,"1"
21049,52,"1"
38388,1130,"1"
20427,230,"1"
16553,100,"1"
22936,571,"1"
23661,595,"1"
23062,410,"1"
17344,157,"1"
15312,993,"1"
41965,382,"1"
22079,1552,"1"
34716,42,"1"
29184,797,"1"
16810,58,"1"
29083,3657,"1"
32012,573,"1"
28698,232,"1"
20754,151,"1"
21201,79,"1"
17822,3012,"1"
20501,1474,"1"
35162,1149,"1"
44270,151,"1"
31231,75,"1"
31665,1013,"1"
27212,174,"1"
24986,159,"1"
28289,141,"1"
24686,241,"1"
29291,7872,"1"
21754,106,"1"
23595,291,"1"
26498,159,"1"
22189,522,"1"
32315,271,"1"
39572,118,"1"
26803,83,"1"
32033,143,"1"
22102,870,"1"
22746,347,"1"
52970,619,"1"
24200,590,"1"
37911,120,"1"
18404,73,"1"
29353,4344,"1"
25045,1093,"1"
28729,1336,"1"
19413,58,"1"
17206,115,"1"
16749,112,"1"
50268,163,"1"
17811,211,"1"
15508,110,"1"
21063,630,"1"
37315,147,"1"
19568,657,"1"
22452,510,"1"
34552,352,"1"
24727,170,"1"
19899,79,"1"
23287,152,"1"
35140,57,"0"
25976,35,"0"
26826,294,"0"
36855,70,"0"
39037,234,"0"
48121,94,"0"
63384,3,"0"
30591,34,"0"
22532,31,"0"
16848,0,"0"
21962,1420,"0"
40369,51,"0"
23028,33,"0"
39864,26,"0"
38128,12,"0"
29407,122,"0"
40515,26,"0"
56307,70,"0"
27022,9,"0"
13109,19,"0"
51198,20,"0"
40579,420,"0"
37644,59,"0"
23238,256,"0"
24947,12,"0"
36132,0,"0"
30613,12,"0"
23394,1,"0"
52734,14,"0"
19017,23,"0"
39916,119,"0"
41149,9,"0"
32332,2,"0"
28745,11,"0"
50659,17,"0"
39667,9,"0"
35301,9,"0"
62548,6,"0"
30967,453,"0"
31489,73,"0"
25679,26,"0"
25735,87,"0"
50075,48,"0"
22993,16,"0"
32073,2,"0"
53761,14,"0"
26777,11,"0"
37093,31,"0"
40602,2,"0"
25392,18,"0"
47790,48,"0"
31507,14,"0"
46259,58,"0"
21318,10,"0"
47029,95,"0"
22684,29,"0"
34324,62,"0"
28381,13,"0"
23773,18,"0"
36469,11,"0"
32704,12,"0"
32337,210,"0"
31617,7,"0"
35723,80,"0"
29661,2,"0"
70039,42,"0"
49229,49,"0"
32405,69,"0"
23727,17,"0"
22422,33,"0"
32221,17,"0"
27023,55,"0"
36901,37,"0"
42032,6,"0"
60054,7,"0"
30548,125,"0"
35575,44,"0"
38507,103,"0"
17985,17,"0"
38920,17,"0"
39651,1,"0"
27373,32,"0"
28003,30,"0"
28998,8,"0"
18974,12,"0"
41040,9,"0"
26472,63,"0"
43419,21,"0"
38694,26,"0"
20078,88,"0"
36626,56,"0"
33228,40,"0"
83975,8,"0"
60357,35,"0"
26654,37,"0"
20066,47,"0"
14990,27,"0"
26615,267,"0"
30535,12,"0"
23839,31,"0"
36192,55,"0"
44004,91,"0"
53396,3,"0"
21144,6,"0"
24535,77,"0"
123625,7,"0"
40679,266,"0"
41049,48,"0"
37500,4,"0"
48507,13,"0"
28955,0,"0"
46199,55,"0"
41736,103,"0"
40704,109,"0"
68742,3,"0"
38742,51,"0"
36332,8,"0"
60830,2,"0"
26261,0,"0"
49642,56,"0"
21339,74,"0"
35828,9,"0"
64806,2,"0"
34544,24,"0"
20146,16,"0"
46515,16,"0"
43673,12,"0"
41178,4,"0"
21463,78,"0"
76907,8,"0"
51984,54,"0"
37783,115,"0"
50475,45,"0"
35951,19,"0"
29987,216,"0"
59069,1,"0"
19950,65,"0"
30007,50,"0"
44495,9,"0"
41006,0,"0"
39014,194,"0"
46116,95,"0"
38802,104,"0"
28315,42,"0"
25649,43,"0"
21120,57,"0"
30138,166,"0"
19382,60,"0"
25859,46,"0"
35554,254,"0"
57464,10,"0"
37701,85,"0"
29133,46,"0"
28223,34,"0"
61271,7,"0"
32124,6,"0"
32964,13,"0"
37274,0,"0"
25369,237,"0"
29647,4,"0"
44358,5,"0"
86674,35,"0"
51988,19,"0"
49658,12,"0"
27148,27,"0"
17736,1586,"0"
21522,201,"0"
37862,19,"0"
43379,50,"0"
50987,22,"0"
40865,55,"0"
17805,6,"0"
55752,0,"0"
30907,10,"0"
46566,2,"0"
29032,5,"0"
32979,10,"0"
36724,38,"0"
48986,38,"0"
46539,289,"0"
27182,96,"0"
14316,39,"0"
60026,1,"0"
47917,24,"0"
36418,13,"0"
34235,13,"0"
41129,37,"0"
84498,6,"0"
37117,29,"0"
43218,20,"0"
34835,6,"0"
25393,5,"0"
25569,21,"0"
37549,11,"0"
26298,17,"0"
25026,8,"0"
28428,2,"0"
16478,5,"0"
65372,3,"0"
46374,99,"0"
31053,11,"0"
32356,127,"0"
48000,6,"0"
41450,18,"0"
56011,12,"0"
31262,55,"0"
24864,39,"0"
25165,128,"0"
45687,46,"0"
35018,89,"0"
27647,40,"0"
26272,162,"0"
24215,12,"0"
24402,39,"0"
39800,41,"0"
58756,11,"0"
35550,33,"0"
29042,1,"0"
37461,9,"0"
28892,7,"0"
21060,117,"0"
32849,58,"0"
36693,17,"0"
30200,53,"0"
34472,18,"0"
45890,137,"0"
44142,16,"0"
20585,12,"0"
61524,7,"0"
48828,1,"0"
26640,5,"0"
25197,42,"0"
40404,50,"0"
46654,10,"0"
19686,72,"0"
55050,50,"0"
45964,62,"0"
35951,6,"0"
31583,64,"0"
53480,99,"0"
36512,14,"0"
19977,26,"0"
27289,34,"0"
23462,86,"0"
58947,46,"0"
27698,17,"0"
34990,12,"0"
23819,14,"0"
67892,64,"0"
17391,29,"0"
21989,46,"0"
38464,17,"0"
22146,9,"0"
21762,41,"0"
100077,10,"0"
26770,341,"0"
24579,128,"0"
36977,9,"0"
36289,64,"0"
49143,13,"0"
25291,43,"0"
66760,15,"0"
52208,24,"0"
23381,28,"0"
14481,84,"0"
43800,83,"0"
46309,12,"0"
29324,0,"0"
34950,63,"0"
22458,50,"0"
41045,44,"0"
36835,141,"0"
34506,22,"0"
27366,13,"0"
24573,0,"0"
52193,3,"0"
40600,17,"0"
43253,25,"0"
29833,5,"0"
63607,18,"0"
58018,8,"0"
21496,0,"0"
31767,415,"0"
29622,58,"0"
32375,23,"0"
16961,39,"0"
42530,14,"0"
20646,45,"0"
30896,2,"0"
43593,13,"0"
34844,10,"0"
30795,142,"0"
27558,21,"0"
52126,5,"0"
48889,12,"0"
20970,36,"0"
45516,270,"0"
25740,187,"0"
46352,27,"0"
74124,15,"0"
38976,82,"0"
22279,44,"0"
36043,2,"0"
32733,16,"0"
54834,18,"0"
60462,36,"0"
61572,13,"0"
30194,62,"0"
45529,130,"0"
22407,3,"0"
31833,111,"0"
45262,22,"0"
43968,11,"0"
47482,49,"0"
69695,1,"0"
24536,4,"0"
36710,28,"0"
36809,50,"0"
69019,3,"0"
33961,30,"0"
53488,7,"0"
40290,118,"0"
26668,24,"0"
39215,240,"0"
52882,6,"0"
28070,75,"0"
48758,39,"0"
32733,24,"0"
40982,16,"0"
54364,41,"0"
50611,30,"0"
23744,12,"0"
41338,2,"0"
14423,24,"0"
25149,42,"0"
31007,53,"0"
20891,62,"0"
50896,8,"0"
22996,31,"0"
33311,38,"0"
35669,14,"0"
52707,8,"0"
53492,20,"0"
45787,117,"0"
21174,143,"0"
17829,11,"0"
27922,2,"0"
28860,53,"0"
49777,48,"0"
49149,152,"0"
37539,6,"0"
24296,13,"0"
56571,52,"0"
23700,75,"0"
21312,18,"0"
14994,18,"0"
26703,538,"0"
22098,52,"0"
23393,34,"0"
31103,243,"0"
25711,52,"0"
53539,2,"0"
43759,60,"0"
42299,21,"0"
35974,115,"0"
74825,1,"0"
42489,86,"0"
26684,19,"0"
22257,34,"0"
35374,56,"0"
40885,40,"0"
32285,35,"0"
71274,10,"0"
65994,8,"0"
26873,8,"0"
15938,33,"0"
42686,3,"0"
75905,3,"0"
33107,27,"0"
29547,6,"0"
59834,14,"0"
40330,12,"0"
22092,39,"0"
12931,96,"0"
34054,427,"0"
30743,7,"0"
19205,63,"0"
50945,93,"0"
22634,66,"0"
18506,50,"0"
33817,73,"0"
51242,42,"0"
42565,40,"0"
89395,0,"0"
43088,127,"0"
74472,3,"0"
34218,33,"0"
26301,39753,"0"
27264,4,"0"
30469,122,"0"
56468,7,"0"
36864,16,"0"
69904,4,"0"
37987,54,"0"
50798,5,"0"
25677,206,"0"
33253,9,"0"
26179,41,"0"
37664,11,"0"
75221,7,"0"
14822,17,"0"
22291,58,"0"
20176,2507,"0"
27126,36,"0"
26136,18,"0"
20472,15,"0"
22265,32,"0"
25058,101,"0"
37050,14,"0"
79092,36,"0"
36526,75,"0"
25615,5,"0"
57568,42,"0"
39308,1,"0"
56713,25,"0"
40174,123,"0"
36935,48,"0"
21219,269,"0"
22369,76,"0"
36247,56,"0"
45303,15,"0"
77530,4,"0"
72369,9,"0"
23221,128,"0"
20413,99,"0"
18956,134,"0"
24714,106,"0"
32596,17,"0"
24091,13,"0"
16997,0,"0"
9805,443,"0"
20742,20,"0"
56478,4,"0"
25656,0,"0"
59020,20,"0"
39822,72,"0"
36431,139,"0"
25341,25,"0"
22023,14,"0"
32141,5,"0"
17103,47,"0"
33863,62,"0"
34168,56,"0"
22806,76,"0"
24929,10,"0"
50843,18,"0"
30031,24,"0"
39683,28,"0"
31768,24,"0"
42026,64,"0"
24868,26,"0"
32369,2,"0"
40324,33,"0"
59719,181,"0"
34181,45,"0"
51035,41,"0"
60688,7,"0"
55657,1,"0"
30067,46,"0"
29887,145,"0"
33219,2,"0"
23220,77,"0"
27373,32,"0"
37856,37,"0"
25007,63,"0"
34255,38,"0"
41224,99,"0"
49787,237,"0"
27095,17,"0"
30565,134,"0"
21105,13,"0"
46726,55,"0"
34929,18,"0"
58769,40,"0"
17884,7,"0"
101320,12,"0"
47106,9,"0"
45424,13,"0"
33410,11,"0"
48219,100,"0"
34158,28,"0"
32713,126,"0"
58995,76,"0"
65590,22,"0"
43578,10,"0"
32321,58,"0"
38433,98,"0"
40505,26,"0"
43832,88,"0"
25372,10,"0"
29624,28,"0"
36562,65,"0"
34825,96,"0"
45043,26,"0"
21619,32,"0"
25710,4,"0"
20518,7,"0"
23999,2,"0"
46082,3,"0"
37840,77,"0"
24103,43,"0"
43092,6,"0"
95134,12,"0"
26151,22,"0"
17161,43,"0"
29693,15,"0"
45892,25,"0"
19420,142,"0"
28282,1177,"0"
27493,6,"0"
71996,4,"0"
26728,33,"0"
24353,80,"0"
31544,268,"0"
38017,15,"0"
34006,70,"0"
33000,9,"0"
34091,60,"0"
25505,4,"0"
48901,78,"0"
8866,654,"0"
33098,21,"0"
33120,24,"0"
27597,51,"0"
38792,18,"0"
14292,29,"0"
60274,1,"0"
38180,0,"0"
28382,202,"0"
43598,9,"0"
22954,64,"0"
38025,7,"0"
31954,194,"0"
47284,6,"0"
27900,37,"0"
31726,16,"0"
43937,19,"0"
32455,40,"0"
40268,49,"0"
32066,21,"0"
27230,37,"0"
80968,2,"0"
42160,14,"0"
60368,53,"0"
40926,6,"0"
20423,6,"0"
53693,117,"0"
46508,55,"0"
20321,10,"0"
23684,6,"0"
24553,43,"0"
47421,15,"0"
23485,25,"0"
45884,5,"0"
22253,40,"0"
43804,28,"0"
38822,25,"0"
36682,55,"0"
41524,24,"0"
23986,0,"0"
34372,277,"0"
27914,24,"0"
21904,114,"0"
27871,33,"0"
63032,7,"0"
46470,312,"0"
41806,26,"0"
22098,7,"0"
52798,3,"0"
38437,41,"0"
53768,9,"0"
30638,126,"0"
43244,5,"0"
34182,59,"0"
47335,8,"0"
26875,29,"0"
35855,3,"0"
18829,16,"0"
48481,11,"0"
41919,112,"0"
41586,217,"0"
61692,15,"0"
36582,11,"0"
22279,0,"0"
23745,15,"0"
23415,9,"0"
18107,38,"0"
32886,4,"0"
40633,24,"0"
29978,0,"0"
37082,3,"0"
35808,8,"0"
24265,44,"0"
34887,7,"0"
18346,5,"0"
38785,5,"0"
44130,41,"0"
45489,3,"0"
26826,137,"0"
39067,67,"0"
43376,18,"0"
31602,86,"0"
34726,63,"0"
47346,50,"0"
50859,29,"0"
44083,30,"0"
33488,57,"0"
51499,29,"0"
22186,33,"0"
38261,0,"0"
45598,187,"0"
54305,26,"0"
48210,23,"0"
28259,34,"0"
30144,251,"0"
31161,32,"0"
46119,5,"0"
57309,12,"0"
45713,26,"0"
34720,9,"0"
37952,10,"0"
23483,26,"0"
25550,21,"0"
25508,79,"0"
50095,7,"0"
24584,40,"0"
37230,34,"0"
28873,25,"0"
34704,33,"0"
49394,35,"0"
42477,4,"0"
84441,55,"0"
32624,5,"0"
52956,28,"0"
36006,70,"0"
75122,4,"0"
45165,54,"0"
24788,37,"0"
23642,21,"0"
63782,3,"0"
25797,9,"0"
18956,107,"0"
57132,53,"0"
22271,30,"0"
40926,181,"0"
38962,72,"0"
48483,30,"0"
25500,12,"0"
34826,60,"0"
36995,30,"0"
28989,26,"0"
35856,23,"0"
23201,190,"0"
37900,21,"0"
20743,33,"0"
61144,20,"0"
36271,414,"0"
26198,44,"0"
56856,251,"0"
48647,8,"0"
55248,17,"0"
74401,19,"0"
30469,47,"0"
51762,10,"0"
32534,51,"0"
50275,22,"0"
22550,24,"0"
21543,75,"0"
19118,110,"0"
17489,56,"0"
23207,3332,"0"
26974,27,"0"
25787,86,"0"
38248,6,"0"
38432,8,"0"
36979,18,"0"
32645,41,"0"
50679,14,"0"
45550,56,"0"
20831,63,"0"
42474,18,"0"
42894,245,"0"
20905,43,"0"
26111,29,"0"
29961,115,"0"
31250,111,"0"
41495,71,"0"
36090,191,"0"
26668,50,"0"
35989,36,"0"
55465,7,"0"
56598,60,"0"
57561,18,"0"
50916,4,"0"
45127,13,"0"
19672,13,"0"
37161,53,"0"
41491,5,"0"
37397,15,"0"
47299,1,"0"
32955,47,"0"
110550,12,"0"
31063,19,"0"
27027,123,"0"
36211,90,"0"
39738,8,"0"
25221,20,"0"
34198,15,"0"
38488,99,"0"
47930,64,"0"
17645,107,"0"
27042,166,"0"
42453,47,"0"
42235,9,"0"
63533,15,"0"
36999,33,"0"
42240,4,"0"
28975,17,"0"
25943,14,"0"
40117,16,"0"
34061,15,"0"
35532,64,"0"
19030,74,"0"
66844,11,"0"
38068,125,"0"
34205,247,"0"
38605,39,"0"
26703,101,"0"
64333,119,"0"
53333,25,"0"
45999,29,"0"
19005,116,"0"
18501,68,"0"
42095,19,"0"
46970,7,"0"
46674,32,"0"
18551,48,"0"
59290,36,"0"
49851,5,"0"
25456,28,"0"
22194,42,"0"
44248,97,"0"
19906,64,"0"
39638,12,"0"
48864,6,"0"
21392,2,"0"
40776,39,"0"
51128,19,"0"
33344,336,"0"
26541,166,"0"
36221,84,"0"
37302,42,"0"
