"medIncome","householdsize","PctUnemployed","TotalPctDiv","agePct12t29","label"
32877,2.45,3.62,12.39,28.11,"1"
23453,2.47,5.56,11.51,42.67,"1"
31671,2.8,7.85,13.1,26.89,"1"
21407,2.59,8.74,14.39,28.26,"1"
21238,2.67,8.15,12.16,27.12,"1"
30925,2.86,8.34,12.26,31.22,"1"
33969,2.76,7.53,8.63,28.54,"1"
28655,3.66,4.37,10.62,40.78,"1"
22059,2.67,4.91,8.97,45.3,"1"
20711,2.53,10.38,13.43,24.58,"1"
22192,2.36,8.12,15.82,26.71,"1"
21221,3.29,5.4,10.37,33.31,"1"
23269,2.25,8.89,16.77,20.98,"1"
25655,2.81,10.87,14.53,29.54,"1"
28289,3.28,8.85,8.74,49.87,"1"
19397,2.86,8.38,11.92,26.81,"1"
29206,3.37,10.6,14.87,33.41,"1"
20864,2.88,12.4,14.44,29.11,"1"
20745,2.44,7.56,11.41,26.55,"1"
22772,2.44,6.54,16.66,27.51,"1"
27489,2.5,7.43,15.58,31.03,"1"
24814,2.49,6.64,15.61,19.57,"1"
42971,2.4,4.13,14.22,24.22,"1"
22112,2.5,8.63,14.07,28.24,"1"
17826,2.89,10.69,7.37,46.46,"1"
32165,2.67,9.43,16.07,26.57,"1"
15917,2.72,10.89,13.35,27.15,"1"
64338,3.17,3.64,6.55,33.08,"1"
19474,2.57,9.88,16.23,26.6,"1"
38532,3.04,7,12.46,29.12,"1"
31938,2.7,6.54,13.78,31.13,"1"
19829,2.41,8.57,14.2,24.32,"1"
21864,2.81,7.67,12.97,33.9,"1"
25741,2.49,7.06,15.53,27.17,"1"
21946,2.88,9.97,11.21,27.52,"1"
18962,3.11,9.97,10.33,27.12,"1"
22610,2.59,7.4,14.75,35.51,"1"
22032,3.41,14.95,8.21,29.5,"1"
16600,2.28,12.8,17.75,18.64,"1"
34850,2.67,7.41,11.96,26.3,"1"
14509,3.11,14.52,11.04,37.21,"1"
18743,2.52,8.5,13.34,25.52,"1"
28824,2.28,5.26,10.86,20.12,"1"
22224,2.94,11.79,13.73,30.82,"1"
35911,2.55,6.69,9.33,23.9,"1"
25982,2.68,6.32,15.97,28.34,"1"
43882,3.53,7.17,10.68,29.52,"1"
36843,2.64,4.66,13.64,26.77,"1"
26680,2.43,5.91,13.48,24.46,"1"
21372,2.39,5.11,14.15,24.44,"1"
36222,2.46,4.7,15.92,27.17,"1"
18519,2.39,7.44,14.84,25.72,"1"
51913,2.25,3.38,15.62,29.76,"1"
20213,2.35,7.76,14.22,22.27,"1"
28388,2.34,5.5,18.67,28.35,"1"
33273,4.1,9.23,10.37,35.04,"1"
32857,3.26,10.99,10.16,30.76,"1"
30534,2.52,5.96,12.17,33.02,"1"
26615,2.84,6.92,11.65,34.13,"1"
23491,2.59,11,16.73,28.92,"1"
28024,2.47,5.8,13.58,27.54,"1"
28611,3.19,9.73,10.96,30.84,"1"
22697,2.4,5.58,13.83,29.8,"1"
18593,2.84,10.62,13.56,30.69,"1"
16331,2.66,10.58,14.46,25.8,"1"
21468,2.48,9.11,12.99,24.38,"1"
24127,2.26,6.84,13.21,25.86,"1"
17658,2.48,13.05,15.49,25.87,"1"
25268,2.71,5.34,13.4,25.82,"1"
42186,3.4,7.31,10.17,28.36,"1"
29450,2.55,6.56,12.5,24.39,"1"
23963,2.42,5.67,13.85,30.22,"1"
25075,2.64,6.29,12.29,25.85,"1"
20329,2.43,10.31,17.1,27.42,"1"
18482,2.4,11.58,12.96,29.24,"1"
21885,2.8,10.85,14.81,30.27,"1"
24884,2.23,4.69,16.51,22.78,"1"
25790,2.59,4.87,13.75,26.08,"1"
29463,2.9,6.83,12.33,26.95,"1"
31146,2.21,7.2,11.22,18.34,"1"
19970,2.97,8.74,11.83,29.57,"1"
24869,2.59,4.1,12.47,32.97,"1"
30967,2.63,6.89,15.38,33.47,"1"
22102,2.65,7.77,14.93,29.08,"1"
22661,2.64,6.63,9.47,44.56,"1"
28121,2.38,2.86,15.89,26.43,"1"
20810,2.69,8.24,12.61,24.11,"1"
28183,2.56,7.6,15.82,27.55,"1"
24462,2.38,6.59,13.44,24.59,"1"
27301,2.58,9.74,14.8,28.12,"1"
27279,3.85,10.81,9.33,34.74,"1"
26547,2.66,7.43,15.02,30.16,"1"
34492,2.9,5.46,9.74,24.75,"1"
35794,2.82,4.79,12.42,26.33,"1"
14555,2.56,10.72,13.67,26.77,"1"
32493,2.87,5.36,9.48,26.96,"1"
21352,2.61,9.38,13.58,26.71,"1"
22783,2.47,5.39,10.87,24.34,"1"
14579,2.58,11.85,15.99,26.23,"1"
36383,3.52,6.62,9.25,29.95,"1"
26500,2.38,3.45,12.64,25.01,"1"
31561,3.04,8.66,14.59,29.79,"1"
32793,2.5,5.13,13.61,28.02,"1"
24131,2.5,7.82,13,26.16,"1"
26233,2.1,4.98,13.55,18.79,"1"
36233,3.31,8.12,12.01,28.59,"1"
25910,2.61,5.3,13.37,26.84,"1"
30529,2.75,9.91,13.37,29.55,"1"
34873,2.22,6.16,10.12,37.46,"1"
20858,3.17,9.65,9.72,29.2,"1"
37025,2.34,3.2,12.09,28.88,"1"
23886,2.68,6.81,9.49,33.35,"1"
22276,2.49,6.92,11.96,25.4,"1"
30739,2.73,6.45,13.64,26.13,"1"
33414,2.37,6.2,11.9,26.71,"1"
38907,2.78,5.35,13.54,28.69,"1"
33313,3.33,8.61,12.04,29.07,"1"
35997,1.94,4.81,16.26,21.72,"1"
30287,2.68,5.84,11.27,26.35,"1"
22032,2.58,8.85,12.17,28.31,"1"
25698,2.75,6.6,11.15,33.21,"1"
22100,2.54,9.86,10.93,31.87,"1"
16442,2.31,10.56,13.57,22.58,"1"
26372,2.91,11.85,16.17,30.19,"1"
25106,2.22,6.77,16.61,25.92,"1"
38122,2.63,3.53,13.3,29.22,"1"
25918,2.77,7.25,12.71,30.2,"1"
22210,2.62,6.47,14.52,32.09,"1"
21225,2.63,10.56,13.29,27.58,"1"
27154,2.79,5.82,5.98,28.18,"1"
21881,2.55,8.28,13.57,27.53,"1"
25976,3.42,9.83,11.59,33.32,"1"
34891,2.56,3.17,13.27,30.3,"1"
27469,2.66,5.93,12.83,31.25,"1"
22514,2.77,10.81,12.51,22.42,"1"
24649,3.04,10.21,11.77,26.83,"1"
16496,2.72,12.39,12.88,30.85,"1"
19456,2.73,9.68,14.39,26.34,"1"
31368,2.91,6.05,10.17,30.72,"1"
23933,2.47,6.96,15.36,25.89,"1"
35516,2.36,5.37,15.58,27.72,"1"
18049,2.45,6.47,12.65,25.16,"1"
23835,2.46,5.61,13.61,26.3,"1"
29180,2.51,8.32,10.24,35.85,"1"
18393,2.89,6.83,7.36,58.57,"1"
18870,2.62,9,13.71,27.54,"1"
22194,2.54,8.29,18.77,35.05,"1"
27631,2.81,9.91,11.56,28.63,"1"
25341,2.97,6.29,10.59,37.04,"1"
26960,3.21,11.04,12.67,31.29,"1"
31308,2.79,4.07,12,34.44,"1"
35558,3.32,7.37,11.77,31.12,"1"
20393,3.27,14.88,10.56,30.17,"1"
19038,2.74,8.71,14.42,27.81,"1"
38956,2.26,3.76,13.27,38.38,"1"
33367,2.96,8.43,13.28,31.95,"1"
21898,2.63,9.35,12.37,32.79,"1"
21645,2.65,6.1,13.52,26.26,"1"
18617,2.65,9.85,12.82,29.43,"1"
24128,3.42,15.46,7.91,32.3,"1"
15708,2.24,6.68,15.04,20.87,"1"
17876,3.56,8.13,15.85,45.9,"1"
22807,2.84,7.58,11.91,27.22,"1"
29881,3.04,10,15.42,32.09,"1"
18253,2.53,8.17,14.46,24.79,"1"
25708,2.36,6.09,15.18,27.1,"1"
30786,2.46,7.59,9.73,28.31,"1"
30043,2.62,5.96,14.28,26.55,"1"
37889,2.72,8.27,10.59,25.71,"1"
40059,2.76,6.65,7.42,25.62,"1"
32132,3.61,9.08,11.11,32.83,"1"
21870,2.76,6.51,13.03,26.56,"1"
19799,2.05,4.87,9.6,53.03,"1"
26889,2.42,5.26,14.4,27.86,"1"
20349,2.6,6.6,14.53,24.79,"1"
19042,2.27,8.53,16.79,25.56,"1"
26622,3.09,5.77,12.6,27.32,"1"
20641,2.38,10.83,12.33,24.51,"1"
29211,2.75,7.29,8.54,24.83,"1"
21824,2.99,4.82,14.78,41.2,"1"
24898,2.48,8.23,16.08,26.48,"1"
24375,2.6,4.44,11.24,23.46,"1"
36097,2.8,4.26,9.35,24.73,"1"
23270,2.74,8.79,13.3,29.7,"1"
31889,3.27,8.28,12.21,35.99,"1"
46758,2.77,5.32,11.38,24.15,"1"
19779,2.51,10.39,17.53,29.63,"1"
35681,2.34,5.29,13.18,22.85,"1"
31448,2.78,4.22,10.78,29.77,"1"
44002,2.27,2.22,14.85,33.22,"1"
41922,2.39,4.77,14.02,24.63,"1"
23460,3.21,9.85,11.54,31.16,"1"
21053,2.32,6.66,11.2,21.79,"1"
36634,2.81,7.65,8.68,26.28,"1"
16574,2.72,7.72,14.98,26.01,"1"
37473,2.63,5.45,12.72,26.06,"1"
22365,3.27,14.81,10.98,29.52,"1"
21483,3.01,9.57,13.03,28.62,"1"
25533,3.01,10.69,15.47,30.37,"1"
29314,1.6,7.04,15.57,23.07,"1"
22785,2.47,8.8,15.12,31.43,"1"
29351,2.79,10.68,10.84,32.56,"1"
25576,2.78,6.83,12.03,27.08,"1"
25689,2.58,5.04,13.98,29.56,"1"
26218,2.56,6.51,11.85,27.75,"1"
32451,2.42,3.97,11.97,35.77,"1"
17386,3.29,16.3,16.34,31.78,"1"
28034,4.06,9.4,9.9,35.51,"1"
25414,2.42,6.32,13.62,35.98,"1"
20095,2.54,9.47,11.5,24.53,"1"
18683,2.57,7.69,12.92,30.4,"1"
23497,2.77,7.89,8.96,26.13,"1"
25380,2.42,6.91,11.45,20.95,"1"
21310,2.43,8.55,10.45,26.07,"1"
22591,2.35,5.47,15.09,25.45,"1"
26713,2.45,7.23,15.22,27.17,"1"
21459,2.44,6.99,10.96,27.79,"1"
38124,3.58,6.64,10.85,30.88,"1"
36376,2.61,6.48,9.21,25.74,"1"
17959,2.67,9.38,17.86,26.49,"1"
19955,3.03,4.96,12.71,31.68,"1"
46206,3.13,5.54,11.64,30.37,"1"
28911,2.84,7.17,12.2,26.23,"1"
20099,2.47,6.23,13.95,26.42,"1"
25567,4.29,12.22,7.89,37.95,"1"
22423,2.6,6.9,14.35,28.38,"1"
26629,2.85,9.04,12.99,28.08,"1"
31873,2.49,4.16,13.26,28.82,"1"
25473,2.53,4.09,12.18,26.57,"1"
22197,2.45,6.9,15.18,26.7,"1"
25855,2.67,5.14,11.01,28.66,"1"
32145,2.45,4.22,15.5,27.8,"1"
20463,2.49,7.81,14.58,23.15,"1"
18477,2.64,12.41,15.11,28.67,"1"
11576,3.09,17.87,15.97,29.24,"1"
32605,3.11,6.15,8,28.54,"1"
26934,2.56,7.2,13.59,27.69,"1"
22446,2.6,9.13,13.52,27.92,"1"
19187,2.43,8.36,12.82,24.64,"1"
21633,3,10.18,14.35,27.04,"1"
23216,2.89,5.87,12.24,39.87,"1"
23630,2.1,6.83,11.88,15.9,"1"
21011,2.37,6.12,15.12,25.8,"1"
26630,2.46,5.91,13.93,34.21,"1"
36945,2.63,7.13,10.52,27.84,"1"
27415,3.73,11.48,9.7,33.35,"1"
37174,3.62,6.71,10.79,31.94,"1"
26086,2.42,4.77,14.24,28.4,"1"
32237,2.21,4.17,10.98,27.16,"1"
33140,2.43,5.15,9.51,37.35,"1"
30121,2.5,7.84,10.84,30.11,"1"
24045,2.66,9.16,15.65,27.66,"1"
39538,2.3,3.64,11.39,20.18,"1"
22068,3.37,10.26,9.11,30.81,"1"
26409,2.73,5.93,10.22,25.06,"1"
20731,2.29,7.49,11.98,22.1,"1"
24971,4.05,14.33,13.12,33.51,"1"
24081,2.52,4.31,12.48,25.94,"1"
24712,2.52,5.75,15.16,34.11,"1"
18619,2.56,8.15,16.38,24.5,"1"
17058,2.36,7.05,14.03,24.88,"1"
44700,2.82,4.33,10.79,25.05,"1"
21078,2.53,7.38,14.22,26.2,"1"
21946,2.76,4.7,8.53,29.61,"1"
45820,2.79,4.48,11.16,23.2,"1"
22674,2.66,8.71,15.52,28.77,"1"
35228,2.95,4.74,7.94,30.61,"1"
54497,1.99,1.87,14.35,35.23,"1"
25021,2.48,5.06,13.56,26.08,"1"
18548,2.63,12.78,13.95,24.99,"1"
15531,3,16.51,11.2,41.83,"1"
43148,1.99,2.99,9.37,11.44,"1"
26710,2.17,4.21,17.92,20.86,"1"
20594,2.88,7.11,14.95,30.07,"1"
39087,2.68,4.84,12.53,28.5,"1"
15605,3.8,16.97,7.6,32.69,"1"
29492,3.08,7.78,11.62,29.45,"1"
28242,2.48,5.46,13.12,25.52,"1"
28377,2.95,10.91,11.72,29.47,"1"
33527,2.91,6.97,12.19,27.24,"1"
41187,2.96,6.38,8.82,26.9,"1"
22577,2.66,5.78,11.19,34.62,"1"
78965,2.89,2.83,6.31,19.86,"1"
20374,2.77,8.37,14.49,24.17,"1"
40683,2.7,5.4,6.38,23.98,"1"
39967,2.83,5.51,12.13,30.43,"1"
15795,2.37,8.39,12.03,30.44,"1"
22168,3.08,12.79,12.79,27.55,"1"
35103,2.62,6.3,12.08,28.85,"1"
27552,2.66,6.07,10.75,27.96,"1"
20380,2.46,7.43,13.23,28.19,"1"
21003,2.5,7.63,16.34,27.87,"1"
30273,2.67,5.11,11.62,29.13,"1"
19030,2.62,8.66,13.48,25.9,"1"
18546,2.71,11.25,14.05,27.45,"1"
43946,2.74,6.46,14.62,28.98,"1"
30938,2.58,5.46,9.93,33.11,"1"
19507,2.5,6.21,14.42,24.46,"1"
23430,2.6,8.73,11.66,31.09,"1"
19016,2.6,7.17,14.34,26.95,"1"
21881,2.45,7.83,15.18,25.55,"1"
20309,2.41,9.63,17.11,26.47,"1"
26701,3.1,7.84,11.51,30.15,"1"
41449,2.81,6.22,5.73,22.52,"1"
22129,3.67,8.18,12.12,37.89,"1"
20382,2.07,9.76,12.24,17.88,"1"
26394,2.63,5.97,10.61,38.51,"1"
27095,2.61,10.77,11.23,24.33,"1"
26470,2.77,4.37,10.61,34.37,"1"
36886,3.04,6.11,12.54,30.66,"1"
21344,2.75,11.64,13.27,27.91,"1"
24923,2.91,8.52,13.8,29.81,"1"
15890,3.76,15.3,9.56,33.08,"1"
20298,2.57,7.88,12.01,25.52,"1"
41921,2.79,4.66,11.2,31.81,"1"
21618,2.47,6.94,15.85,25.35,"1"
25983,2.46,6.26,12.07,27.39,"1"
24294,2.35,3.91,13.66,25.06,"1"
19390,2.85,16.6,16.98,27.6,"1"
26883,2.62,8.93,12.56,26.9,"1"
18913,2.6,12.39,15.73,24.47,"1"
24146,2.41,4,10.03,25.17,"1"
17826,2.64,9.51,12.18,27.99,"1"
22053,2.96,10.29,9.63,34.78,"1"
31885,2.55,5.19,11.25,38.87,"1"
21205,2.52,6.93,14.08,25.45,"1"
30693,2.48,8.57,13.16,26.7,"1"
27483,2.55,5.16,17.81,31.84,"1"
22504,2.47,6.66,11.28,23.7,"1"
18683,2.6,8.99,17.24,29.51,"1"
26950,2,4.79,11.32,18.5,"1"
26877,2.1,7.16,13.57,18.62,"1"
20141,2.38,8.24,15.72,26.4,"1"
17552,2.75,8.82,12.79,27.19,"1"
21061,2.79,12.83,15.97,28.45,"1"
25153,2.61,5.15,11.62,33.2,"1"
26576,2.28,6.75,13.46,30.02,"1"
27256,2.44,4.72,12.71,32.98,"1"
34050,2.96,7.89,11.14,26.16,"1"
25926,2.94,7.9,13.16,27.54,"1"
21006,2.36,7.84,14.85,29.98,"1"
25000,2.48,7.44,12.01,26.41,"1"
17196,2.28,7.51,14.81,22.25,"1"
30590,2.59,6.57,18.4,27.06,"1"
21558,5.28,12.35,8.44,39.97,"1"
21038,2.59,8.38,16.07,28.24,"1"
18858,2.84,8.69,11.87,31.45,"1"
30908,2.76,6.24,13.18,27.34,"1"
27371,2.22,5.33,16.26,35.99,"1"
42748,2.41,5.03,13.02,28.07,"1"
15570,2.7,17.4,12.1,24.59,"1"
20609,2.36,6.21,13.98,30.71,"1"
24130,2.69,6.56,10.98,35.04,"1"
30733,2.92,7.2,11.5,27.2,"1"
31712,2.82,9.22,11.52,28.6,"1"
26119,2.51,4.56,16.18,34.53,"1"
59076,3.54,3.67,6.83,28.65,"1"
25384,2.53,5.73,13.09,25.71,"1"
24296,2.06,3.9,12.87,19.71,"1"
24316,2.36,7.16,13.26,29.18,"1"
15576,2.63,9.73,12.61,38.93,"1"
27095,2.58,9.38,15.68,27.02,"1"
18631,2.25,7.89,14.77,31.84,"1"
12908,3.53,17.42,9.12,30.86,"1"
26144,2.7,8.15,15.11,26.94,"1"
42481,3.19,4.96,11.15,29.44,"1"
22886,2.56,7.94,14.36,26.52,"1"
18641,2.68,6.76,14.15,26.95,"1"
50468,2.37,3.23,12.85,21.09,"1"
24644,2.54,7.02,11.52,26.46,"1"
21949,2.47,7.26,13.51,24.08,"1"
32154,2.8,7.1,14.05,28.34,"1"
28097,2.27,3.57,13.54,24.32,"1"
25152,2.4,6.09,10.8,35.77,"1"
21650,3.01,14.71,14,31.88,"1"
26810,2.7,11.76,17.06,28.16,"1"
23487,2.64,8.2,14.35,29.27,"1"
21309,2.61,8.45,15.65,27.11,"1"
30151,2.85,7.87,12.82,29.89,"1"
22147,2.73,9.18,11.37,34.52,"1"
23958,2.47,5.39,14.81,25.2,"1"
30489,2.81,4.42,7.23,51.27,"1"
23603,2.4,5.94,12.3,23.09,"1"
32341,2.34,4.3,17,33.75,"1"
33498,2.78,5.15,8.87,29.28,"1"
27074,4.37,11.49,8.95,36.85,"1"
22279,4.34,10.24,10.66,36.96,"1"
34836,2.27,2.96,13.27,23.73,"1"
47143,3.18,4.57,8.89,28.36,"1"
16586,2.51,8.17,15.26,24.55,"1"
24056,2.72,7.16,14.31,30.25,"1"
24319,2.36,7.11,11.4,26.47,"1"
27312,2.45,5.84,12.95,28.97,"1"
20053,2.44,7.35,15.51,26.67,"1"
19077,2.75,8.43,12.48,27.3,"1"
47506,2.59,4.03,10.74,28.9,"1"
22859,2.35,4.28,15.65,26.93,"1"
22468,2.73,9.52,11.39,39.65,"1"
19259,2.49,9.34,12.82,26.9,"1"
32559,3.04,6.15,10.09,28.64,"1"
25982,2.48,5.68,8.96,47.67,"1"
25377,2.58,7.22,13.45,27.09,"1"
23563,2.92,6.1,12.87,38.6,"1"
19193,2.52,9.24,15.71,27.56,"1"
14579,2.57,10.95,12.94,25.39,"1"
28704,2.71,10.62,12.62,29.69,"1"
21665,2.27,5.64,15.22,23.5,"1"
23127,2.69,7.88,15.37,27.35,"1"
27770,2.69,7.8,11.97,27.95,"1"
33667,2.49,4.6,13.64,28.99,"1"
25015,2.2,4.97,14.46,28.02,"1"
15315,2.37,9.64,17.91,27.23,"1"
21851,2.62,8.82,14.22,28.46,"1"
23819,4.58,13.37,9.28,36.99,"1"
22357,2.69,6.37,12.84,27.47,"1"
25751,2.74,6.16,14.47,26.32,"1"
20429,2.75,7.35,13.88,30.41,"1"
40955,3.31,7.82,11.57,29.6,"1"
26265,2.63,8.35,11.29,26.39,"1"
32690,2.48,6.75,10.9,23.6,"1"
26344,2.49,6.15,13.69,28.56,"1"
25009,2.95,6.17,11.06,34.53,"1"
19807,2.52,11.23,15.06,26.01,"1"
30389,2.87,6.98,12.89,29.06,"1"
31461,2.6,6.54,14,22.18,"1"
24470,3.48,15.72,9.8,30.54,"1"
26276,2.64,5.45,10.72,27.96,"1"
46885,2.43,3.2,13.96,24.1,"1"
25147,3.26,13.9,11.32,29.41,"1"
22267,2.28,5.56,14.32,23.63,"1"
32098,2.88,5.2,11.59,27.74,"1"
47533,2.82,3.35,11.75,25.31,"1"
18276,2.34,10.76,12.48,28.54,"1"
22677,2.73,4.36,12,32.97,"1"
17060,2.58,15.6,13.89,24.97,"1"
31793,2.36,6.25,14.09,33.32,"1"
25324,2.29,6.67,13.1,30.92,"1"
30037,2.72,8.58,14.65,29.09,"1"
25238,2.54,5.89,12.51,25.42,"1"
24509,2.43,3.16,13.87,25.4,"1"
33063,2.75,5.88,12.99,27.8,"1"
16223,2.87,11.99,12.86,32.19,"1"
22664,2.62,8.22,13.59,25.07,"1"
41974,3.14,6.92,11.31,28.1,"1"
22515,3.81,12.37,10.19,35.61,"1"
21897,2.82,9.96,13.78,28.1,"1"
33453,2.75,6.82,11.8,28.56,"1"
13704,2.81,15.94,13.96,27.06,"1"
40256,2.99,7.28,11.77,27.63,"1"
32150,2.42,6.44,12.51,26.62,"1"
22183,2.89,14.99,14.08,30.15,"1"
33686,2.73,5.72,12.8,32.67,"1"
23584,2.86,8.92,14.01,30.35,"1"
35237,2.48,4.62,14.42,24.79,"1"
19391,2.8,14.24,13.59,28.88,"1"
21745,2.54,8.24,14.39,26.11,"1"
41435,3.1,5.7,12.08,29.64,"1"
13060,3.52,19.01,8.4,30.11,"1"
23551,2.38,6.43,15.77,29.11,"1"
37695,3.17,6.41,11.41,25.74,"1"
23038,2.3,4.18,14.45,28.32,"1"
21242,2.52,8.17,12.15,33.6,"1"
27293,2.87,8.77,11.47,28.71,"1"
26669,3.1,10.94,11.46,30.48,"1"
41675,2.65,4.58,13.55,27.42,"1"
22140,2.72,10.73,15.22,34.04,"1"
21119,2.54,7.91,11.69,29.15,"1"
33214,2.49,4.71,15.16,28.19,"1"
21603,2.77,7.16,12.16,31.06,"1"
20618,2.58,6.84,11.2,24.95,"1"
30533,2.52,7.77,11.36,27.7,"1"
30147,2.74,4.43,9.6,26.24,"1"
31266,2.7,6.41,12.19,27.19,"1"
25333,2.53,7.19,15.86,27.65,"1"
23318,2.59,5.1,11.4,33.13,"1"
26722,2.35,5.55,13.07,23.96,"1"
22476,2.53,5.48,11.88,22.92,"1"
25422,2.22,4.95,16.76,26.19,"1"
36058,2.78,6.11,13.33,28.98,"1"
27606,2.43,6.99,12.33,27.31,"1"
20347,2.75,13.21,13.46,25.7,"1"
31605,3.27,7.66,9.89,30.19,"1"
32393,2.29,4.58,15.35,29.47,"1"
16305,2.68,8.38,12.48,29.5,"1"
35684,2.7,6.2,14.69,28.61,"1"
23695,2.26,6.59,13.79,20.5,"1"
26787,2.57,8.58,16.32,27.8,"1"
24495,2.64,7.84,14.35,26.61,"1"
21427,2.73,6.87,12.22,26.23,"1"
36652,2.65,2.82,11.53,26.76,"1"
21529,2.57,11.6,17.87,27.43,"1"
23627,2.61,8.88,13.25,29.77,"1"
27591,2.66,5.62,13.96,32.48,"1"
25719,2.88,10.86,14.92,28.69,"1"
27538,2.16,5.41,16.1,19.86,"1"
35083,3.03,6.97,12.82,27.77,"1"
21085,2.67,8.52,13.64,24.45,"1"
33084,3.33,7.57,12.77,30.74,"1"
33482,3.53,6.59,8.53,29.82,"1"
32194,2.4,5.2,11.87,25.44,"1"
30727,2.43,7.03,15.03,29.83,"1"
40936,2.91,6.63,13.12,27.25,"1"
23078,2.59,7.05,11.67,28.26,"1"
19099,2.46,11.53,14.4,24.9,"1"
26674,2.55,5.31,10.91,25.71,"1"
43490,2.35,4.59,7.28,29.53,"1"
40327,2.8,6.58,10.84,27.85,"1"
13804,2.74,11.14,12.35,25.87,"1"
25961,4.38,12.46,9.89,35.77,"1"
29737,2.36,5.62,12.65,36.55,"1"
20185,2.43,7.47,14.88,24.87,"1"
22275,2.53,9.13,17.06,30.26,"1"
22647,2.58,12.16,11.75,27.07,"1"
35788,3.31,7.32,12.05,31.88,"1"
34344,2.46,7.65,9.14,28.76,"1"
26473,2.24,4.8,13.98,21.32,"1"
20565,2.72,7.5,11.11,43.29,"1"
28553,2.57,9.34,12.04,26.65,"1"
32711,2.7,5.88,15.91,28.98,"1"
19950,2.51,4.75,11.68,24.62,"1"
39975,2.69,4.99,12.89,24.5,"1"
34383,3.7,8.44,10.54,31.31,"1"
42948,2.59,6.42,9.62,29.89,"1"
15917,2.73,7.18,8.9,47.14,"1"
23156,2.58,6.07,9.45,43.68,"1"
24346,2.73,7.55,13.35,27.4,"1"
21160,2.77,7.44,10.43,25.86,"1"
15732,2.35,11.52,14.53,23.61,"1"
19775,2.35,9.11,12.53,24.72,"1"
34727,2.52,2.23,12.96,32.59,"1"
22176,3.13,9.46,9.05,41.12,"1"
32633,2.81,7.29,10.45,26.41,"1"
38859,2.63,5.8,6.86,29.49,"1"
21401,3.2,17,12.56,29.65,"1"
17682,2.71,8.68,14.42,27.4,"1"
28513,2.62,5.2,14.64,28.77,"1"
17897,2.97,11.51,13.82,30.16,"1"
41533,3.18,5.43,10.26,28.49,"1"
27101,2.68,9.19,10.75,30.45,"1"
21198,3.24,17.23,11.22,29.56,"1"
17811,2.82,11.51,8.86,25.45,"1"
27236,2.8,5.86,12.64,32.09,"1"
21920,2.7,7.44,12.12,26.93,"1"
45739,2.53,4.81,12.96,24.15,"1"
35479,2.59,4.78,13.52,24.69,"1"
24517,2.49,5.78,15.73,29.54,"1"
25670,2.35,5.14,15.85,26.81,"1"
29354,2.49,7.15,12.71,27.53,"1"
29054,2.77,10.83,11.36,30.31,"1"
25223,2.49,6.43,12.11,24.42,"1"
37080,2.41,3.4,11.78,24.49,"1"
23634,2.76,5.87,14.82,30.87,"1"
26540,2.65,7.63,12.6,26.95,"1"
25828,2.55,8.74,15.71,25.05,"1"
23194,2.54,6.66,14.19,25.97,"1"
27239,2.25,6.68,16.74,23.03,"1"
35425,2.54,5.17,11.74,27.97,"1"
31741,2.52,5.49,14.39,25.05,"1"
21301,2.67,9.18,12.69,27.98,"1"
28734,3.15,5.17,15.55,31.69,"1"
22750,2.33,6.41,12.94,22.35,"1"
25029,2.67,5.81,17.1,28.98,"1"
